tags: darakwon 14-과


[sound:취미.mp3]	취미	passe-temps, loisir
[sound:레오의_취미는_운동입니다.mp3]	<ul>레오의 취미는 운동입니다. 특히 테니스를 아주 좋아합니다. 레오는 주말에 친구들하고 테니스를 칩니다. 그리고 겨울에는 스키장에서 스키를 탑니다.</ul>	<ul>Le sport est le passe-temps de Léo. Il aime particulièrement le tennis. Le week-end, Léo joue au tennis avec ses amis. Et l'hiver, il skie dans les stations.</ul><p class="small">(하십시오체, registre formel poli)</p>

[sound:줄리엥의_취미는_사진입니다.mp3]	<ul>줄리엥의 취미는 사진입니다. 줄리엥은 매일 휴대전화로 사진을 찍습니다. 그리고 친구들에게 이메일로 사진을 보냅니다.</ul>	<ul>La photographie est le passe-temps de Julien. Julien prend des photos tous les jours avec son téléphone portable et il les envoie par email à ses amis.</ul><p class="small">(하십시오체, registre formel poli)</p>

[sound:모르간과_상준은_영화를_아주_좋아합니다.mp3]	<ul>모르간과 상준은 영화를 아주 좋아합니다. 모르간은 애정 영화를 좋아하고 상준은 액션 영화를 좋아합니다. 두 사람은 영화를 좋아해서 극장에 자주 갑니다.</ul>	<ul>Morgane et Sang-joon aiment beaucoup les films. Morgane aime les films romantiques et Sang-joon aime les films d'action. Les deux aiment le cinéma, c'est pourquoi elles s'y rendent souvent.</ul><p class="small">(하십시오체, registre formel poli)</p>

[sound:민정은_음악을_좋아합니다.mp3]	<ul>민정은 음악을 좋아합니다. 특히 재즈를 참 좋아합니다.</ul>	<ul>Min-jeong aime la musique. Elle aime vraiment tout particulièrement le jazz.</ul><p class="small">(하십시오체, registre formel poli)</p>

[sound:사미라는_가요를_좋아합니다.mp3]	<ul>사미라는 가요를 좋아합니다. 사미라는 한국 가수들의 이름을 다 압니다. 민정과 사미라는 콘서트에 자주 갑니다.</ul>	<ul>Samira aime les chansons coréennes. Samira connaît tous les noms des chanteurs coréens. Min-jeong et Samira vont souvent au concert.</ul><p class="small">(하십시오체, registre formel poli)</p>



# 듣기와 말하기

[sound:민수_씨_운전할_줄_알아요.mp3]	<ul>민수 씨, 운전할 줄 알아요?</ul>	<ul>Minsu, est-ce que tu sais conduire ?</ul>

[sound:어떤_음악을_좋아하세요.mp3]	<ul><li>어떤 음악을 좋아하세요?</li><li>저는 가요를 좋아합니다.</li></ul>	<ul><li>Quel genre de musique aimez-vous ?</li><li>J'aime la chanson coréenne.</li></ul>

[sound:어떤_영화를_좋아하세요.mp3]	<ul><li>어떤 영화를 좋아하세요?</li><li>저는 애정 영화를 좋아해요.</li></ul>	<ul><li>Quel genre de films aimez-vous ?</li><li>J'aime les films romantiques.</li></ul>

[sound:내일_만날_수_있어요.mp3]	<ul>내일 만날 수 있어요?</ul>	<ul>Est-ce qu'on peut se voir demain ?</ul>

[sound:민수의_취미는_음악입니다.mp3]	<ul>민수의 취미는 음악입니다. 민수는 팝송을 좋아합니다.</ul>	<ul>Le passe-temps de Minsu est la musique. Minsu aime les chansons de variété.</ul><p class="small">(하십시오체, registre formel poli)</p>

[sound:아가트하고_모르간은_영화를_좋아합니다.mp3]	<ul>아가트하고 모르간은 영화를 좋아합니다. 아가트는 공포 영화를 좋아하고 모르간은 만화 영화를 좋아합니다. 두 사람은 극장에 자주 갑니다.</ul>	<ul>Agathe et Morgane aiment le cinéma. Agathe aime les films d'horreur et Morgane les dessins animés. Les deux vont souvent au cinéma.</ul><p class="small">(하십시오체, registre formel poli)</p>

[sound:민정은_운동을_좋아합니다.mp3]	<ul>민정은 운동을 좋아합니다. 배드민턴을 매일 칩니다.</ul>	<ul>Min-jeong aime le sport. Elle fait du badminton tous les jours.</ul><p class="small">(하십시오체, registre formel poli)</p>

[sound:마리의_취미는_음악입니다.mp3]	<ul>마리의 취미는 음악입니다. 특히 팝송을 아주 좋아해서 콘서트에 자주 갑니다. 지난 토요일에도 친구하고 콘서트에 갔습니다.</ul>	<ul>Le passe-temps de Marie est la musique. Elle aime particulièrement les chansons de variété, c'est pourquoi elle va souvent au concert. Samedi dernier aussi elle est allée à un concert avec une amie.</ul><p class="small">(하십시오체, registre formel poli)</p>

[sound:피에르는_여행과_등산을_좋아합니다.mp3]	<ul>피에르는 여행과 등산을 좋아합니다. 그런데 피에르는 시간이 없어서 여행을 자주 갈 수 없습니다.</ul>	<ul>Pierre aime les voyages et la randonnée. Pourtant, Pierre n'a pas le temps, c'est pourquoi il ne peut pas voyager souvent.</ul><p class="small">(하십시오체, registre formel poli)</p>

[sound:이자벨의_취미는_운동입니다.mp3]	<ul>이자벨의 취미는 운동입니다. 매일 아침에 배드민턴을 칩니다.</ul>	<ul>Le passe-temps d'Isabelle est le sport. Tous les matins elle joue au badminton.</ul><p class="small">(하십시오체, registre formel poli)</p>
