tags: darakwon 5-과

[sound:기숙사.mp3]	기숙사 <span class="발음">[기숙싸]</span>	dortoir, résidence universitaire
[sound:영어_수업하고_한국어_수업이_많아요.mp3]	<ul>민정 씨는 오늘 시간이 없어요. 영어 수업하고 한국어 수업이 많아요. 한국어 수업이 재미있어요. 민정 씨는 내일도 시간이 없어요.</ul>	<ul>Min-jeong n'a pas le temps aujourd'hui. Elle a beaucoup de cours d'anglais et de coréen. Le cours de coréen est intéressant. Min-jeong n'a pas le temps demain non plus.</ul>

[sound:오늘_수업이_없어요.mp3]	<ul>모르간 씨는 오늘 시간이 있어요. 오늘 수업이 없어요. 모르간 씨는 내일도 시간이 많아요.</ul>	<ul>Morgane a le temps aujourd'hui. Aujourd'hui elle n'a pas cours. Morgane a aussi beaucoup de temps demain.</ul>

[sound:햄버거가_참_맛있어요.mp3]	<ul>햄버거가 참 맛있어요.</ul>	<ul>Les hamburgers sont vraiment délicieux.</ul>

[sound:제_기숙사가_아주_좋아요.mp3]	<ul>제 기숙사가 아주 좋아요.</ul>	<ul>Mon dortoir est très agréable.</ul>

[sound:책하고_잡지가_많아요.mp3]	<ul>책하고 잡지가 많아요.</ul>	<ul>Il y a beaucoup de livres et de magazines.</ul>

[sound:한국어_사전도_많아요.mp3]	<ul>한국어 사전도 많아요.</ul>	<ul>Il y a aussi beaucoup de dictionnaires de coréen.</ul>

[sound:이자벨의_전공이_중국어예요.mp3]	<ul>이자벨의 전공이 중국어예요.</ul>	<ul>La matière principale d'Isabelle est le chinois.</ul>

[sound:외국_학생이_많아요.mp3]	<ul>외국 학생이 많아요.</ul>	<ul>Il y a beaucoup d'étudiants étrangers.</ul>


[sound:질문.mp3]	질문 <span class="small light">/ 답</span>	question <span class="small light">/ réponse</span>

[sound:질문에_답하세요.mp3]	<ul>질문에 답하세요.</ul>	<ul>Répondez aux questions.</ul>

[sound:학교_식당의_음식이_맛있어요.mp3]	<ul><li>대학교가 어때요?</li><li>대학교가 참 넓어요. 그리고 학교 식당의 음식이 맛있어요.</li></ul>	<ul><li>Comment est l'université&nbsp;?</li><li>L'université est vraiment grande. Et la nourriture de la cantine est délicieuse.</li></ul>

[sound:컴퓨터가_많아요.mp3]	<ul><li>도서관은 어때요?</li><li>도서관도 괜찮아요. 컴퓨터가 많아요.</li></ul>	<ul><li>Comment est la bibliothèque&nbsp;?</li><li>La bibliothèque aussi est bien. Il y a beaucoup d'ordinateurs.</li></ul>

[sound:프랑스_학생이_많아요.mp3]	<ul><li>기숙사는 어때요?</li><li>기숙사도 좋아요. 프랑스 학생이 많아요.</li></ul>	<ul><li>Comment est le dortoir&nbsp;?</li><li>Le dortoir aussi est agréable. Il y a beaucoup d'étudiants français.</li></ul>
