tags: darakwon 11-과

[sound:결혼식.mp3]	결혼식	cérémonie de mariage
[sound:도울_거예요.mp3]	도<span class="불규칙">울</span> 거예요<p class="small">(*도<span class="불규칙">우을</span> 거예요)</p><div class="활용"><div class="bloc"><div class="부정사">돕다</div><div class="불규칙">(“ㅂ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">도와요</div><div class="과거">도왔어요</div><div class="미래">도울 거예요</div><div class="명령법">도우세요</div></div><div class="bloc"><div class="고">돕고</div><div class="지만">돕지만</div><div class="는데">돕는데</div><div class="면">도우면</div></div></div>	il aidera<p class="small">(해요체, registre informel poli)</p>

[sound:들어요.mp3]	<span class="불규칙">들</span>어요 <span class="발음">[드러요]</span><div class="활용"><div class="bloc"><div class="부정사">듣다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">들어요</div><div class="과거">들었어요</div><div class="미래">들을 거예요</div><div class="명령법">들으세요</div></div><div class="bloc"><div class="고">듣고</div><div class="지만">듣지만</div><div class="는데">듣는데</div><div class="면">들으면</div></div></div>	il entend, il écoute<p class="small">(해요체, registre informel poli)</p>
[sound:들었어요.mp3]	<span class="불규칙">들</span>었어요 <span class="발음">[드러써요]</span><div class="활용"><div class="bloc"><div class="부정사">듣다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">들어요</div><div class="과거">들었어요</div><div class="미래">들을 거예요</div><div class="명령법">들으세요</div></div><div class="bloc"><div class="고">듣고</div><div class="지만">듣지만</div><div class="는데">듣는데</div><div class="면">들으면</div></div></div>	il entendait, il écoutait<p class="small">(해요체, registre informel poli)</p>
[sound:들을_거예요.mp3]	<span class="불규칙">들</span>을 거예요 <span class="발음">[드를]</span><div class="활용"><div class="bloc"><div class="부정사">듣다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">들어요</div><div class="과거">들었어요</div><div class="미래">들을 거예요</div><div class="명령법">들으세요</div></div><div class="bloc"><div class="고">듣고</div><div class="지만">듣지만</div><div class="는데">듣는데</div><div class="면">들으면</div></div></div>	il entendra, il écoutera<p class="small">(해요체, registre informel poli)</p>

[sound:마셔요.mp3]	마<span class="불규칙">셔</span>요<p class="small">(*마<span class="불규칙">시어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">마시다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">마셔요</div><div class="과거">마셨어요</div><div class="미래">마실 거예요</div><div class="명령법">마시세요</div></div><div class="bloc"><div class="고">마시고</div><div class="지만">마시지만</div><div class="는데">마시는데</div><div class="면">마시면</div></div></div>	il boit<p class="small">(해요체, registre informel poli)</p>
[sound:마셨어요.mp3]	마<span class="불규칙">셨</span>어요<p class="small">(*마<span class="불규칙">시었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">마시다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">마셔요</div><div class="과거">마셨어요</div><div class="미래">마실 거예요</div><div class="명령법">마시세요</div></div><div class="bloc"><div class="고">마시고</div><div class="지만">마시지만</div><div class="는데">마시는데</div><div class="면">마시면</div></div></div>	il buvait<p class="small">(해요체, registre informel poli)</p>
[sound:마실_거예요.mp3]	마실 거예요<div class="활용"><div class="bloc"><div class="부정사">마시다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">마셔요</div><div class="과거">마셨어요</div><div class="미래">마실 거예요</div><div class="명령법">마시세요</div></div><div class="bloc"><div class="고">마시고</div><div class="지만">마시지만</div><div class="는데">마시는데</div><div class="면">마시면</div></div></div>	il boira<p class="small">(해요체, registre informel poli)</p>

[sound:길이_막히다.mp3]	길이 막히다<p class="발음">[기리 마<span style="font-weight: bold">키</span>다]</p><div class="활용"><div class="bloc"><div class="부정사">막히다</div></div><div class="bloc"><div class="현재">막혀요</div><div class="과거">막혔어요</div><div class="미래">막힐 거예요</div></div></div>	y avoir un embouteillage<p class="small">(litt. “la route se bouche”)</p>
[sound:막혀요.mp3]	막<span class="불규칙">혀</span>요 <span class="발음">[마<span style="font-weight: bold">켜</span>요]</span><p class="small">(*막<span class="불규칙">히어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">막히다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">막혀요</div><div class="과거">막혔어요</div><div class="미래">막힐 거예요</div></div><div class="bloc"><div class="고">막히고</div><div class="지만">막히지만</div><div class="는데">막히는데</div><div class="면">막히면</div></div></div>	il se bloque, s'obstrue, se bouche<p class="small">(해요체, registre informel poli)</p>
[sound:막혔어요.mp3]	막<span class="불규칙">혔</span>어요 <span class="발음">[마<span style="font-weight: bold">켜</span>써요]</span><p class="small">(*막<span class="불규칙">히었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">막히다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">막혀요</div><div class="과거">막혔어요</div><div class="미래">막힐 거예요</div></div><div class="bloc"><div class="고">막히고</div><div class="지만">막히지만</div><div class="는데">막히는데</div><div class="면">막히면</div></div></div>	il se bloquait, s'obstruait, se bouchait<p class="small">(해요체, registre informel poli)</p>
[sound:막힐_거예요.mp3]	막힐 거예요 <span class="발음">[마<span style="font-weight: bold">킬</span>]</span><div class="활용"><div class="bloc"><div class="부정사">막히다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">막혀요</div><div class="과거">막혔어요</div><div class="미래">막힐 거예요</div></div><div class="bloc"><div class="고">막히고</div><div class="지만">막히지만</div><div class="는데">막히는데</div><div class="면">막히면</div></div></div>	il se bloquera, s'obstruera, se bouchera<p class="small">(해요체, registre informel poli)</p>

[sound:만나요.mp3]	만<span class="불규칙">나</span>요<p class="small">(*만<span class="불규칙">나아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사"><div class="높임">&#x21a1; 뵙다</div>만나다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">만나요</div><div class="과거">만났어요</div><div class="미래">만날 거예요</div></div><div class="bloc"><div class="고">만나고</div><div class="지만">만나지만</div><div class="는데">만나는데</div><div class="면">만나면</div></div></div>	il rencontre<p class="small">(해요체, registre informel poli)</p>
[sound:만났어요.mp3]	만<span class="불규칙">났</span>어요<p class="small">(*만<span class="불규칙">나았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사"><div class="높임">&#x21a1; 뵙다</div>만나다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">만나요</div><div class="과거">만났어요</div><div class="미래">만날 거예요</div></div><div class="bloc"><div class="고">만나고</div><div class="지만">만나지만</div><div class="는데">만나는데</div><div class="면">만나면</div></div></div>	il rencontrait<p class="small">(해요체, registre informel poli)</p>
[sound:만날_거예요.mp3]	만날 거예요<div class="활용"><div class="bloc"><div class="부정사"><div class="높임">&#x21a1; 뵙다</div>만나다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">만나요</div><div class="과거">만났어요</div><div class="미래">만날 거예요</div></div><div class="bloc"><div class="고">만나고</div><div class="지만">만나지만</div><div class="는데">만나는데</div><div class="면">만나면</div></div></div>	il rencontrera<p class="small">(해요체, registre informel poli)</p>

[sound:만들어요.mp3]	만들어요 <span class="발음">[만드러요]</span><div class="활용"><div class="bloc"><div class="부정사">만들다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">만들어요</div><div class="과거">만들었어요</div><div class="미래">만들 거예요</div><div class="명령법">만드세요</div></div><div class="bloc"><div class="고">만들고</div><div class="지만">만들지만</div><div class="는데">만드는데</div><div class="면">만들면</div></div></div>	il fait, il construit<p class="small">(해요체, registre informel poli)</p>
[sound:만들었어요.mp3]	만들었어요<p class="발음">[만드러써요]</p><div class="활용"><div class="bloc"><div class="부정사">만들다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">만들어요</div><div class="과거">만들었어요</div><div class="미래">만들 거예요</div><div class="명령법">만드세요</div></div><div class="bloc"><div class="고">만들고</div><div class="지만">만들지만</div><div class="는데">만드는데</div><div class="면">만들면</div></div></div>	il faisait, il construisait<p class="small">(해요체, registre informel poli)</p>
[sound:만들_거예요.mp3]	만들 거예요<div class="활용"><div class="bloc"><div class="부정사">만들다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">만들어요</div><div class="과거">만들었어요</div><div class="미래">만들 거예요</div><div class="명령법">만드세요</div></div><div class="bloc"><div class="고">만들고</div><div class="지만">만들지만</div><div class="는데">만드는데</div><div class="면">만들면</div></div></div>	il fera, il construira<p class="small">(해요체, registre informel poli)</p>

[sound:많아요.mp3]	많아요 <span class="발음">[마나요]</span><div class="활용"><div class="bloc"><div class="부정사">많다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">많아요</div><div class="과거">많았어요</div><div class="미래">많을 거예요</div></div><div class="bloc"><div class="고">많고</div><div class="지만">많지만</div><div class="는데">많은데</div><div class="면">많으면</div></div></div>	ils sont nombreux<p class="small">(해요체, registre informel poli)</p>
[sound:많았어요.mp3]	많았어요 <span class="발음">[마나써요]</span><div class="활용"><div class="bloc"><div class="부정사">많다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">많아요</div><div class="과거">많았어요</div><div class="미래">많을 거예요</div></div><div class="bloc"><div class="고">많고</div><div class="지만">많지만</div><div class="는데">많은데</div><div class="면">많으면</div></div></div>	ils étaient nombreux<p class="small">(해요체, registre informel poli)</p>
[sound:많을_거예요.mp3]	많을 거예요 <span class="발음">[마늘]</span><div class="활용"><div class="bloc"><div class="부정사">많다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">많아요</div><div class="과거">많았어요</div><div class="미래">많을 거예요</div></div><div class="bloc"><div class="고">많고</div><div class="지만">많지만</div><div class="는데">많은데</div><div class="면">많으면</div></div></div>	ils seront nombreux<p class="small">(해요체, registre informel poli)</p>

[sound:말해요.mp3]	말해요<div class="활용"><div class="bloc"><div class="부정사">말하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">말해요</div><div class="과거">말했어요</div><div class="미래">말할 거예요</div><div class="명령법">말하세요</div></div><div class="bloc"><div class="고">말하고</div><div class="지만">말하지만</div><div class="는데">말하는데</div><div class="면">말하면</div></div></div>	il parle, il dit<p class="small">(해요체, registre informel poli)</p>
[sound:말했어요.mp3]	말했어요<div class="활용"><div class="bloc"><div class="부정사">말하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">말해요</div><div class="과거">말했어요</div><div class="미래">말할 거예요</div><div class="명령법">말하세요</div></div><div class="bloc"><div class="고">말하고</div><div class="지만">말하지만</div><div class="는데">말하는데</div><div class="면">말하면</div></div></div>	il parlait, il disait<p class="small">(해요체, registre informel poli)</p>
[sound:말할_거예요.mp3]	말할 거예요<div class="활용"><div class="bloc"><div class="부정사">말하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">말해요</div><div class="과거">말했어요</div><div class="미래">말할 거예요</div><div class="명령법">말하세요</div></div><div class="bloc"><div class="고">말하고</div><div class="지만">말하지만</div><div class="는데">말하는데</div><div class="면">말하면</div></div></div>	il parlera, il dira<p class="small">(해요체, registre informel poli)</p>

[sound:맛없어요.mp3]	맛없어요 <span class="발음">[마<span style="font-weight: bold">덥</span>써요]</span><div class="활용"><div class="bloc"><div class="부정사">맛없다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">맛없어요</div><div class="과거">맛없었어요</div><div class="미래">맛없을 거예요</div></div><div class="bloc"><div class="고">맛없고</div><div class="지만">맛없지만</div><div class="는데">맛없는데</div><div class="면">맛없으면</div></div></div>	il est fade, mauvais <span class="small">(au goût)</span><p class="small">(해요체, registre informel poli)</p>
[sound:맛없었어요.mp3]	맛없었어요<p class="발음">[마<span style="font-weight: bold">덥</span>써써요]</p><div class="활용"><div class="bloc"><div class="부정사">맛없다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">맛없어요</div><div class="과거">맛없었어요</div><div class="미래">맛없을 거예요</div></div><div class="bloc"><div class="고">맛없고</div><div class="지만">맛없지만</div><div class="는데">맛없는데</div><div class="면">맛없으면</div></div></div>	il était fade, mauvais <span class="small">(au goût)</span><p class="small">(해요체, registre informel poli)</p>
[sound:맛없을_거예요.mp3]	맛없을 거예요<p class="발음">[마<span style="font-weight: bold">덥</span>쓸]</p><div class="활용"><div class="bloc"><div class="부정사">맛없다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">맛없어요</div><div class="과거">맛없었어요</div><div class="미래">맛없을 거예요</div></div><div class="bloc"><div class="고">맛없고</div><div class="지만">맛없지만</div><div class="는데">맛없는데</div><div class="면">맛없으면</div></div></div>	il sera fade, mauvais <span class="small">(au goût)</span><p class="small">(해요체, registre informel poli)</p>

[sound:맛있어요.mp3]	맛있어요 <span class="발음">[마시써요]</span><div class="활용"><div class="bloc"><div class="부정사">맛있다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">맛있어요</div><div class="과거">맛있었어요</div><div class="미래">맛있을 거예요</div></div><div class="bloc"><div class="고">맛있고</div><div class="지만">맛있지만</div><div class="는데">맛있는데</div><div class="면">맛있으면</div></div></div>	il est délicieux, bon <span class="small">(au goût)</span><p class="small">(해요체, registre informel poli)</p>
[sound:맛있었어요.mp3]	맛있었어요<p class="발음">[마시써써요]</p><div class="활용"><div class="bloc"><div class="부정사">맛있다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">맛있어요</div><div class="과거">맛있었어요</div><div class="미래">맛있을 거예요</div></div><div class="bloc"><div class="고">맛있고</div><div class="지만">맛있지만</div><div class="는데">맛있는데</div><div class="면">맛있으면</div></div></div>	il était délicieux, bon <span class="small">(au goût)</span><p class="small">(해요체, registre informel poli)</p>
[sound:맛있을_거예요.mp3]	맛있을 거예요<p class="발음">[마시쓸]</p><div class="활용"><div class="bloc"><div class="부정사">맛있다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">맛있어요</div><div class="과거">맛있었어요</div><div class="미래">맛있을 거예요</div></div><div class="bloc"><div class="고">맛있고</div><div class="지만">맛있지만</div><div class="는데">맛있는데</div><div class="면">맛있으면</div></div></div>	il sera délicieux, bon <span class="small">(au goût)</span><p class="small">(해요체, registre informel poli)</p>

[sound:맞아요.mp3]	맞아요 <span class="발음">[마자요]</span><div class="활용"><div class="bloc"><div class="부정사">맞다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">맞아요</div><div class="과거">맞았어요</div><div class="미래">맞을 거예요</div></div><div class="bloc"><div class="고">맞고</div><div class="지만">맞지만</div><div class="는데">맞는데</div><div class="면">맞으면</div></div></div>	c'est ça, c'est correct, c'est juste<hr/>il sied, il va, il convient <span class="small">(à un goût)</span><hr/>il est cohérent, en harmonie <span class="small">(avec)</span><p class="small">(해요체, registre informel poli)</p>
[sound:맞았어요.mp3]	맞았어요 <span class="발음">[마자써요]</span><div class="활용"><div class="bloc"><div class="부정사">맞다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">맞아요</div><div class="과거">맞았어요</div><div class="미래">맞을 거예요</div></div><div class="bloc"><div class="고">맞고</div><div class="지만">맞지만</div><div class="는데">맞는데</div><div class="면">맞으면</div></div></div>	c'était ça, c'était correct, c'était juste<hr/>il seyait, il allait, il convenait <span class="small">(à un goût)</span><hr/>il était cohérent, en harmonie <span class="small">(avec)</span><p class="small">(해요체, registre informel poli)</p>
[sound:맞을_거예요.mp3]	맞을 거예요 <span class="발음">[마즐]</span><div class="활용"><div class="bloc"><div class="부정사">맞다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">맞아요</div><div class="과거">맞았어요</div><div class="미래">맞을 거예요</div></div><div class="bloc"><div class="고">맞고</div><div class="지만">맞지만</div><div class="는데">맞는데</div><div class="면">맞으면</div></div></div>	ce sera ça, ce sera correct, ce sera juste<hr/>il siéra, il ira, il conviendra <span class="small">(à un goût)</span><hr/>il sera cohérent, en harmonie <span class="small">(avec)</span><p class="small">(해요체, registre informel poli)</p>

[sound:매워요.mp3]	매<span class="불규칙">워</span>요<p class="small">(*매<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">맵다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">매워요</div><div class="과거">매웠어요</div><div class="미래">매울 거예요</div></div><div class="bloc"><div class="고">맵고</div><div class="지만">맵지만</div><div class="는데">매운데</div><div class="면">매우면</div></div></div>	il est piquant, épicé<p class="small">(해요체, registre informel poli)</p>
[sound:매웠어요.mp3]	매<span class="불규칙">웠</span>어요<p class="small">(*매<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">맵다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">매워요</div><div class="과거">매웠어요</div><div class="미래">매울 거예요</div></div><div class="bloc"><div class="고">맵고</div><div class="지만">맵지만</div><div class="는데">매운데</div><div class="면">매우면</div></div></div>	il était piquant, épicé<p class="small">(해요체, registre informel poli)</p>
[sound:매울_거예요.mp3]	매<span class="불규칙">울</span> 거예요<p class="small">(*매<span class="불규칙">우을</span> 거예요)</p><div class="활용"><div class="bloc"><div class="부정사">맵다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">매워요</div><div class="과거">매웠어요</div><div class="미래">매울 거예요</div></div><div class="bloc"><div class="고">맵고</div><div class="지만">맵지만</div><div class="는데">매운데</div><div class="면">매우면</div></div></div>	il sera piquant, épicé<p class="small">(해요체, registre informel poli)</p>

[sound:먹어요.mp3]	먹어요 <span class="발음">[머거요]</span><div class="활용"><div class="bloc"><div class="부정사">먹다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">먹어요</div><div class="과거">먹었어요</div><div class="미래">먹을 거예요</div><div class="명령법">먹으세요</div></div><div class="bloc"><div class="고">먹고</div><div class="지만">먹지만</div><div class="는데">먹는데</div><div class="면">먹으면</div></div></div>	il mange<p class="small">(해요체, registre informel poli)</p>
[sound:먹었어요.mp3]	먹었어요 <span class="발음">[머거써요]</span><div class="활용"><div class="bloc"><div class="부정사">먹다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">먹어요</div><div class="과거">먹었어요</div><div class="미래">먹을 거예요</div><div class="명령법">먹으세요</div></div><div class="bloc"><div class="고">먹고</div><div class="지만">먹지만</div><div class="는데">먹는데</div><div class="면">먹으면</div></div></div>	il mangeait<p class="small">(해요체, registre informel poli)</p>
[sound:먹을_거예요.mp3]	먹을 거예요 <span class="발음">[머글]</span><div class="활용"><div class="bloc"><div class="부정사">먹다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">먹어요</div><div class="과거">먹었어요</div><div class="미래">먹을 거예요</div><div class="명령법">먹으세요</div></div><div class="bloc"><div class="고">먹고</div><div class="지만">먹지만</div><div class="는데">먹는데</div><div class="면">먹으면</div></div></div>	il mangera<p class="small">(해요체, registre informel poli)</p>

[sound:멀다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">멀다</div><div class="불규칙">(“ㄹ” 불규칙 형용사)</div></div></div><p class="small">(&ne;&nbsp;가깝다)</p>	être loin<p class="small">(&ne;&nbsp;être proche)</p><ul><li>adjectif irrégulier en “ㄹ”&nbsp;: ㄹ disparaît devant ㄴ / ㅂ / ㅅ</li></ul>
[sound:멀어요.mp3]	멀어요 <span class="발음">[머러요]</span><div class="활용"><div class="bloc"><div class="부정사">멀다</div><div class="불규칙">(“ㄹ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">멀어요</div><div class="과거">멀었어요</div><div class="미래">멀 거예요</div></div><div class="bloc"><div class="고">멀고</div><div class="지만">멀지만</div><div class="는데">먼데</div><div class="면">멀면</div></div></div>	il est loin<p class="small">(해요체, registre informel poli)</p>
[sound:멀었어요.mp3]	멀었어요 <span class="발음">[머러써요]</span><div class="활용"><div class="bloc"><div class="부정사">멀다</div><div class="불규칙">(“ㄹ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">멀어요</div><div class="과거">멀었어요</div><div class="미래">멀 거예요</div></div><div class="bloc"><div class="고">멀고</div><div class="지만">멀지만</div><div class="는데">먼데</div><div class="면">멀면</div></div></div>	il était loin<p class="small">(해요체, registre informel poli)</p>
[sound:멀_거예요.mp3]	멀 거예요<div class="활용"><div class="bloc"><div class="부정사">멀다</div><div class="불규칙">(“ㄹ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">멀어요</div><div class="과거">멀었어요</div><div class="미래">멀 거예요</div></div><div class="bloc"><div class="고">멀고</div><div class="지만">멀지만</div><div class="는데">먼데</div><div class="면">멀면</div></div></div>	il sera loin<p class="small">(해요체, registre informel poli)</p>

[sound:물어요.mp3]	<span class="불규칙">물</span>어요 <span class="발음">[무러요]</span><div class="활용"><div class="bloc"><div class="부정사">묻다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">물어요</div><div class="과거">물었어요</div><div class="미래">물을 거예요</div><div class="명령법">물으세요</div></div><div class="bloc"><div class="고">묻고</div><div class="지만">묻지만</div><div class="는데">묻는데</div><div class="면">물으면</div></div></div>	il demande, il interroge<p class="small">(해요체, registre informel poli)</p>
[sound:물었어요.mp3]	<span class="불규칙">물</span>었어요 <span class="발음">[무러써요]</span><div class="활용"><div class="bloc"><div class="부정사">묻다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">물어요</div><div class="과거">물었어요</div><div class="미래">물을 거예요</div><div class="명령법">물으세요</div></div><div class="bloc"><div class="고">묻고</div><div class="지만">묻지만</div><div class="는데">묻는데</div><div class="면">물으면</div></div></div>	il demandait, il interrogeait<p class="small">(해요체, registre informel poli)</p>
[sound:물을_거예요.mp3]	<span class="불규칙">물</span>을 거예요 <span class="발음">[무를]</span><div class="활용"><div class="bloc"><div class="부정사">묻다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">물어요</div><div class="과거">물었어요</div><div class="미래">물을 거예요</div><div class="명령법">물으세요</div></div><div class="bloc"><div class="고">묻고</div><div class="지만">묻지만</div><div class="는데">묻는데</div><div class="면">물으면</div></div></div>	il demandera, il interrogera<p class="small">(해요체, registre informel poli)</p>

[sound:미안합니다.mp3]	미안합니다<p class="발음">[미안<span style="font-weight: bold">함</span>니다]</p><div class="활용"><div class="bloc"><div class="부정사">미안하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">미안합니다</div><div class="해요체">미안해요</div></div><div class="과거">미안했어요</div><div class="미래">미안할 거예요</div></div><div class="bloc"><div class="고">미안하고</div><div class="지만">미안하지만</div><div class="는데">미안한데</div><div class="면">미안하면</div></div></div>	je suis désolé, navré&nbsp;; excusez-moi<p class="small">(하십시오체, registre formel poli)</p><ul><li>moins formel que 죄송합니다</li></ul>
[sound:미안해요.mp3]	미안해요<div class="활용"><div class="bloc"><div class="부정사">미안하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">미안합니다</div><div class="해요체">미안해요</div></div><div class="과거">미안했어요</div><div class="미래">미안할 거예요</div></div><div class="bloc"><div class="고">미안하고</div><div class="지만">미안하지만</div><div class="는데">미안한데</div><div class="면">미안하면</div></div></div>	je suis désolé, navré&nbsp;; excusez-moi<p class="small">(해요체, registre informel poli)</p><ul><li>moins formel que 죄송해요</li></ul>
[sound:미안했어요.mp3]	미안했어요<div class="활용"><div class="bloc"><div class="부정사">미안하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">미안합니다</div><div class="해요체">미안해요</div></div><div class="과거">미안했어요</div><div class="미래">미안할 거예요</div></div><div class="bloc"><div class="고">미안하고</div><div class="지만">미안하지만</div><div class="는데">미안한데</div><div class="면">미안하면</div></div></div>	il était désolé, navré&nbsp;; il s'excusait<p class="small">(해요체, registre informel poli)</p><ul><li>moins formel que 죄송했어요</li></ul>
[sound:미안할_거예요.mp3]	미안할 거예요<div class="활용"><div class="bloc"><div class="부정사">미안하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">미안합니다</div><div class="해요체">미안해요</div></div><div class="과거">미안했어요</div><div class="미래">미안할 거예요</div></div><div class="bloc"><div class="고">미안하고</div><div class="지만">미안하지만</div><div class="는데">미안한데</div><div class="면">미안하면</div></div></div>	il sera désolé, navré&nbsp;; il s'excusera<p class="small">(해요체, registre informel poli)</p><ul><li>moins formel que 죄송할 거예요</li></ul>

[sound:바꿔요.mp3]	바<span class="불규칙">꿔</span>요<p class="small">(*바<span class="불규칙">꾸어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">바꾸다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">바꿔요</div><div class="과거">바꿨어요</div><div class="미래">바꿀 거예요</div><div class="명령법">바꾸세요</div></div><div class="bloc"><div class="고">바꾸고</div><div class="지만">바꾸지만</div><div class="는데">바꾸는데</div><div class="면">바꾸면</div></div></div>	il change, il transforme, il modifie<hr/>il échange<p class="small">(해요체, registre informel poli)</p>
[sound:바꿨어요.mp3]	바<span class="불규칙">꿨</span>어요 <span class="발음">[바<span style="font-weight: bold">꿔</span>써요]</span><p class="small">(*바<span class="불규칙">꾸었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">바꾸다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">바꿔요</div><div class="과거">바꿨어요</div><div class="미래">바꿀 거예요</div><div class="명령법">바꾸세요</div></div><div class="bloc"><div class="고">바꾸고</div><div class="지만">바꾸지만</div><div class="는데">바꾸는데</div><div class="면">바꾸면</div></div></div>	il changeait, il transformait, il modifiait<hr/>il échangeait<p class="small">(해요체, registre informel poli)</p>
[sound:바꿀_거예요.mp3]	바꿀 거예요<div class="활용"><div class="bloc"><div class="부정사">바꾸다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">바꿔요</div><div class="과거">바꿨어요</div><div class="미래">바꿀 거예요</div><div class="명령법">바꾸세요</div></div><div class="bloc"><div class="고">바꾸고</div><div class="지만">바꾸지만</div><div class="는데">바꾸는데</div><div class="면">바꾸면</div></div></div>	il changera, il transformera, il modifiera<hr/>il échangera<p class="small">(해요체, registre informel poli)</p>

[sound:바쁘다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">바쁘다</div><div class="불규칙">(“으” 불규칙 형용사)</div></div></div>	être occupé<ul><li>adjectif irrégulier en “으”&nbsp;: ㅡ disparaît devant voyelle</li></ul>
[sound:바빠요.mp3]	바<span class="불규칙">빠</span>요<p class="small">(*바<span class="불규칙">ㅃ아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">바쁘다</div><div class="불규칙">(“으” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">바빠요</div><div class="과거">바빴어요</div><div class="미래">바쁠 거예요</div></div><div class="bloc"><div class="고">바쁘고</div><div class="지만">바쁘지만</div><div class="는데">바쁜데</div><div class="면">바쁘면</div></div></div>	il est occupé<p class="small">(해요체, registre informel poli)</p>
