tags: darakwon 16-과

[sound:색.mp3]	색<ul><span style="color:black">&#9633;</span>&nbsp;하얀색 / 흰색<br><span style="color:yellow">&#9632;</span>&nbsp;노란색<br><span style="color:green">&#9632;</span>&nbsp;녹색<br><span style="color:blue">&#9632;</span>&nbsp;파란색<br><span style="color:red">&#9632;</span>&nbsp;빨간색<br><span style="color:pink">&#9632;</span>&nbsp;분홍색<br><span style="color:orange">&#9632;</span>&nbsp;주황색<br><span style="color:purple">&#9632;</span>&nbsp;보라색<br><span style="color:brown">&#9632;</span>&nbsp;갈색<br><span style="color:grey">&#9632;</span>&nbsp;회색<br><span style="color:black">&#9632;</span>&nbsp;까만색 / 검은색</ul>	couleur
[sound:하얬어요.mp3]	하<span class="불규칙">얬</span>어요 <span class="small light">/ 희었어요</span><p class="small">(*하<span class="불규칙">얘었</span>어요)</p><hr/>하<span class="불규칙">야</span>셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">하얗다 / 희다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">하야십니다</div>하얗습니다</div><div class="해요체"><div class="높임">하야세요</div>하얘요</div></div><div class="과거"><div class="하십시오체"><div class="높임">하야셨습니다</div>하얬습니다</div><div class="해요체"><div class="높임">하야셨어요</div>하얬어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">하야실 겁니다</div>하얄 겁니다</div><div class="해요체"><div class="높임">하야실 거예요</div>하얄 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">하야시고</div>하얗고</div><div class="지만"><div class="높임">하야시지만</div>하얗지만</div><div class="는데"><div class="높임">하야신데</div>하얀데</div><div class="면"><div class="높임">하야시면</div>하야면</div><div class="서"><div class="높임">하야셔서</div>하얘서</div></div></div>	<span style="color:black">&#9633;</span> il était blanc<p class="small">(해요체, registre informel poli)</p>
[sound:하얄_거예요.mp3]	하<span class="불규칙">얄</span> 거예요 <span class="small light">/ 흴</span><p class="small">(*하<span class="불규칙">야을</span> 거예요)</p><hr/>하<span class="불규칙">야</span>실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">하얗다 / 희다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">하야십니다</div>하얗습니다</div><div class="해요체"><div class="높임">하야세요</div>하얘요</div></div><div class="과거"><div class="하십시오체"><div class="높임">하야셨습니다</div>하얬습니다</div><div class="해요체"><div class="높임">하야셨어요</div>하얬어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">하야실 겁니다</div>하얄 겁니다</div><div class="해요체"><div class="높임">하야실 거예요</div>하얄 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">하야시고</div>하얗고</div><div class="지만"><div class="높임">하야시지만</div>하얗지만</div><div class="는데"><div class="높임">하야신데</div>하얀데</div><div class="면"><div class="높임">하야시면</div>하야면</div><div class="서"><div class="높임">하야셔서</div>하얘서</div></div></div>	<span style="color:black">&#9633;</span> il sera blanc<p class="small">(해요체, registre informel poli)</p>


# https://wiseinit.com/입다-신다-쓰다-끼다-차다-두르다-메다-매다-바르다-붙

[sound:입다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">(옷을) 입다 <span class="발음">[입<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(규칙 동사)</div></div></div><p class="small">(&ne;&nbsp;벗다)</p>	s'habiller, se vêtir, porter<p class="small">(&ne;&nbsp;se déshabiller, se dévêtir, ôter)</p><ul><li>verbe régulier</li></ul>
[sound:입습니다.mp3]	입습니다 <span class="발음">[입<span style="font-weight: bold">씀</span>니다]</span><hr/>입으십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">입다</div><div class="불규칙">(규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">입으십니다</div>입습니다</div><div class="해요체"><div class="높임">입으세요</div>입어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">입으셨습니다</div>입었습니다</div><div class="해요체"><div class="높임">입으셨어요</div>입었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">입으실 겁니다</div>입을 겁니다</div><div class="해요체"><div class="높임">입으실 거예요</div>입을 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">입으시고</div>입고</div><div class="지만"><div class="높임">입으시지만</div>입지만</div><div class="는데"><div class="높임">입으시는데</div>입는데</div><div class="면"><div class="높임">입으시면</div>입으면</div><div class="서"><div class="높임">입으셔서</div>입어서</div></div></div>	il s'habille, il porte <span class="small">(un vêtement)</span><p class="small">(하십시오체, registre formel poli)</p>
[sound:입어요.mp3]	입어요 <span class="발음">[이버요]</span><hr/>입으세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">입다</div><div class="불규칙">(규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">입으십니다</div>입습니다</div><div class="해요체"><div class="높임">입으세요</div>입어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">입으셨습니다</div>입었습니다</div><div class="해요체"><div class="높임">입으셨어요</div>입었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">입으실 겁니다</div>입을 겁니다</div><div class="해요체"><div class="높임">입으실 거예요</div>입을 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">입으시고</div>입고</div><div class="지만"><div class="높임">입으시지만</div>입지만</div><div class="는데"><div class="높임">입으시는데</div>입는데</div><div class="면"><div class="높임">입으시면</div>입으면</div><div class="서"><div class="높임">입으셔서</div>입어서</div></div></div>	il s'habille, il porte <span class="small">(un vêtement)</span><p class="small">(해요체, registre informel poli)</p>
[sound:입었어요.mp3]	입었어요 <span class="발음">[이버써요]</span><hr/>입으셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">입다</div><div class="불규칙">(규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">입으십니다</div>입습니다</div><div class="해요체"><div class="높임">입으세요</div>입어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">입으셨습니다</div>입었습니다</div><div class="해요체"><div class="높임">입으셨어요</div>입었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">입으실 겁니다</div>입을 겁니다</div><div class="해요체"><div class="높임">입으실 거예요</div>입을 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">입으시고</div>입고</div><div class="지만"><div class="높임">입으시지만</div>입지만</div><div class="는데"><div class="높임">입으시는데</div>입는데</div><div class="면"><div class="높임">입으시면</div>입으면</div><div class="서"><div class="높임">입으셔서</div>입어서</div></div></div>	il s'habillait, il portait <span class="small">(un vêtement)</span><p class="small">(해요체, registre informel poli)</p>
[sound:입을_거예요.mp3]	입을 거예요 <span class="발음">[이블]</span><hr/>입으실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">입다</div><div class="불규칙">(규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">입으십니다</div>입습니다</div><div class="해요체"><div class="높임">입으세요</div>입어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">입으셨습니다</div>입었습니다</div><div class="해요체"><div class="높임">입으셨어요</div>입었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">입으실 겁니다</div>입을 겁니다</div><div class="해요체"><div class="높임">입으실 거예요</div>입을 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">입으시고</div>입고</div><div class="지만"><div class="높임">입으시지만</div>입지만</div><div class="는데"><div class="높임">입으시는데</div>입는데</div><div class="면"><div class="높임">입으시면</div>입으면</div><div class="서"><div class="높임">입으셔서</div>입어서</div></div></div>	il s'habillera, il portera <span class="small">(un vêtement)</span><p class="small">(해요체, registre informel poli)</p>

[sound:스웨터.mp3]	스웨터	chandail, pull<p class="small">(angl. “sweater” ; 옷: vêtement)</p>
[sound:조끼.mp3]	조끼	gilet<p class="small">(옷: vêtement)</p>
[sound:점퍼.mp3]	점퍼	blouson<p class="small">(옷: vêtement)</p>
[sound:재킷.mp3]	재킷 <span class="발음">[재킫]</span>	veste<p class="small">(angl. “jacket” ; 옷: vêtement)</p>

[sound:코트.mp3]	코트<span class="small light">를 입다</span>	manteau <span class="small light">/ porter</span><p class="small">(angl. “coat” ; 옷: vêtement)</p>
[sound:정장_수트.mp3]	정장<span class="small light">을 입다</span><hr/>양복<hr/>수트	costume, tailleur <span class="small light">/ porter</span><p class="small">(angl. “suit” ; 옷: vêtement)</p><ul><li><span class="em">정장</span>&nbsp;: litt. “tenue correcte, formelle” (정: correct, formel; 장: tenue)&nbsp;; vêtements masculins et féminins</li><li><span class="em">양복</span>&nbsp;: litt. “vêtement occidental” (양: outre-mer; 복: vêtement)&nbsp;; vêtements masculins exclusivement</li></ul>
[sound:남방_셔츠.mp3]	남방<span class="small light">을 입다</span><hr/>셔츠	chemise <span class="small light">/ porter</span><p class="small">(angl. “shirt” ; 옷: vêtement)</p>
[sound:티셔츠.mp3]	티셔츠<span class="small light">를 입다</span>	t-shirt <span class="small light">/ porter</span><p class="small">(옷: vêtement)</p>
[sound:치마.mp3]	치마<span class="small light">를 입다</span>	jupe <span class="small light">/ porter</span><p class="small">(옷: vêtement)</p>
[sound:원피스_드레스.mp3]	원피스<span class="small light">를 입다</span><hr/>드레스	robe <span class="small light">/ porter</span><p class="small">(angl. “dress” ; 옷: vêtement)</p>
[sound:바지.mp3]	바지<span class="small light">를 입다</span>	pantalon <span class="small light">/ porter</span><p class="small">(옷: vêtement)</p>
[sound:청바지.mp3]	청바지<span class="small light">를 입다</span>	jeans <span class="small light">/ porter</span><p class="small">(바지: pantalon ; 옷: vêtement)</p>
[sound:반바지.mp3]	반바지<span class="small light">를 입다</span>	short, bermuda <span class="small light">/ porter</span><p class="small">(반: moitié, 바지: pantalon ; 옷: vêtement)</p>
[sound:운동복.mp3]	운동복<span class="small light">을 입다</span>	vêtements de sport <span class="small light">/ porter</span><p class="small">(운동: sport ; 옷: vêtement)</p>
[sound:속옷.mp3]	속옷<span class="small light">을 입다</span> <span class="발음">[소곧]</span>	sous-vêtements <span class="small light">/ porter</span><p class="small">(속/안: au-dedans, à l'intérieur de ; 옷: vêtement)</p><hr/>lingerie


[sound:쓰다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">쓰다</div><div class="불규칙">(“으” 불규칙 동사)</div></div></div><ul><li>모자를 쓰다</li><li>안경을 쓰다</li><li>선글라스를 쓰다</li><li>가면을 쓰다 / 마스크를 쓰다</li></ul>	écrire<ul><li>verbe irrégulier en “으”&nbsp;: ㅡ disparaît devant voyelle</li></ul><hr/>porter, mettre<p class="small">(à la tête - 머리 / au visage - 얼굴)</p><ul><li>un chapeau, une casquette (모자)</li><li>des lunettes (안경)</li><li>des lunettes de soleil (선글라스)</li><li>un masque (가면 / 마스크)</li><li>une perruque (가발)</li><li>un serre-tête (머리띠)</li></ul>
[sound:씁니다.mp3]	씁니다 <span class="발음">[<span style="font-weight: bold">씀</span>니다]</span><hr/>쓰십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">쓰다</div><div class="불규칙">(“으” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">쓰십니다</div>씁니다</div><div class="해요체"><div class="높임">쓰세요</div>써요</div></div><div class="과거"><div class="하십시오체"><div class="높임">쓰셨습니다</div>썼습니다</div><div class="해요체"><div class="높임">쓰셨어요</div>썼어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">쓰실 겁니다</div>쓸 겁니다</div><div class="해요체"><div class="높임">쓰실 거예요</div>쓸 거예요</div></div><div class="명령법">쓰세요</div></div><div class="bloc"><div class="고"><div class="높임">쓰시고</div>쓰고</div><div class="지만"><div class="높임">쓰시지만</div>쓰지만</div><div class="는데"><div class="높임">쓰시는데</div>쓰는데</div><div class="면"><div class="높임">쓰시면</div>쓰면</div><div class="서"><div class="높임">쓰셔서</div>써서</div></div></div>	il écrit, il porte <span class="small">(à la tête, au visage)</span><p class="small">(하십시오체, registre formel poli)</p>
[sound:써요.mp3]	<span class="불규칙">써</span>요<p class="small">(*<span class="불규칙">ㅆ어</span>요)</p><hr/>쓰세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">쓰다</div><div class="불규칙">(“으” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">쓰십니다</div>씁니다</div><div class="해요체"><div class="높임">쓰세요</div>써요</div></div><div class="과거"><div class="하십시오체"><div class="높임">쓰셨습니다</div>썼습니다</div><div class="해요체"><div class="높임">쓰셨어요</div>썼어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">쓰실 겁니다</div>쓸 겁니다</div><div class="해요체"><div class="높임">쓰실 거예요</div>쓸 거예요</div></div><div class="명령법">쓰세요</div></div><div class="bloc"><div class="고"><div class="높임">쓰시고</div>쓰고</div><div class="지만"><div class="높임">쓰시지만</div>쓰지만</div><div class="는데"><div class="높임">쓰시는데</div>쓰는데</div><div class="면"><div class="높임">쓰시면</div>쓰면</div><div class="서"><div class="높임">쓰셔서</div>써서</div></div></div>	il écrit, il porte <span class="small">(à la tête, au visage)</span><p class="small">(해요체, registre informel poli)</p>
[sound:썼어요.mp3]	<span class="불규칙">썼</span>어요 <span class="발음">[써써요]</span><p class="small">(*<span class="불규칙">ㅆ었</span>어요)</p><hr/>쓰셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">쓰다</div><div class="불규칙">(“으” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">쓰십니다</div>씁니다</div><div class="해요체"><div class="높임">쓰세요</div>써요</div></div><div class="과거"><div class="하십시오체"><div class="높임">쓰셨습니다</div>썼습니다</div><div class="해요체"><div class="높임">쓰셨어요</div>썼어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">쓰실 겁니다</div>쓸 겁니다</div><div class="해요체"><div class="높임">쓰실 거예요</div>쓸 거예요</div></div><div class="명령법">쓰세요</div></div><div class="bloc"><div class="고"><div class="높임">쓰시고</div>쓰고</div><div class="지만"><div class="높임">쓰시지만</div>쓰지만</div><div class="는데"><div class="높임">쓰시는데</div>쓰는데</div><div class="면"><div class="높임">쓰시면</div>쓰면</div><div class="서"><div class="높임">쓰셔서</div>써서</div></div></div>	il écrivait, il portait <span class="small">(à la tête, au visage)</span><p class="small">(해요체, registre informel poli)</p>
[sound:쓸_거예요.mp3]	쓸 거예요<hr/>쓰실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">쓰다</div><div class="불규칙">(“으” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">쓰십니다</div>씁니다</div><div class="해요체"><div class="높임">쓰세요</div>써요</div></div><div class="과거"><div class="하십시오체"><div class="높임">쓰셨습니다</div>썼습니다</div><div class="해요체"><div class="높임">쓰셨어요</div>썼어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">쓰실 겁니다</div>쓸 겁니다</div><div class="해요체"><div class="높임">쓰실 거예요</div>쓸 거예요</div></div><div class="명령법">쓰세요</div></div><div class="bloc"><div class="고"><div class="높임">쓰시고</div>쓰고</div><div class="지만"><div class="높임">쓰시지만</div>쓰지만</div><div class="는데"><div class="높임">쓰시는데</div>쓰는데</div><div class="면"><div class="높임">쓰시면</div>쓰면</div><div class="서"><div class="높임">쓰셔서</div>써서</div></div></div>	il écrira, il portera <span class="small">(à la tête, au visage)</span><p class="small">(해요체, registre informel poli)</p>

[sound:모자.mp3]	모자<span class="small light">를 쓰다</span>	chapeau, casquette <span class="small light">/ porter</span><p class="small">(옷: vêtement)</p>
[sound:안경.mp3]	안경<span class="small light">을 쓰다 / 끼다</span>	lunettes <span class="small light">/ porter</span>
[sound:선글라스.mp3]	선글라스<span class="small light">를 쓰다</span>	lunettes de soleil <span class="small light">/ porter</span><p class="small">(angl. “sunglasses”)</p>
[sound:가면_마스크.mp3]	가면<span class="small light">을 쓰다</span><hr/>마스크	masque <span class="small light">/ porter</span><p class="small">(angl. “mask”)</p>
[sound:가발.mp3]	가발<span class="small light">을 쓰다</span>	perruque <span class="small light">/ porter</span>
[sound:머리띠.mp3]	머리띠<span class="small light">를 쓰다</span>	serre-tête, bandeau <span class="small light">/ porter</span><p class="small">(머리: tête)</p>


[sound:신다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">(신발을) 신다 <span class="발음">[신<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(동사)</div></div></div><ul><li>신발을 신다</li><li>구두를 신다</li><li>하이힐을 신다</li><li>운동화를 신다</li><li>장화를 / 부츠를 신다</li><li>샌들을 신다</li><li>슬리퍼를 신다</li><li>양말을 신다</li></ul>	porter, chausser<p class="small">(aux pieds - 발)</p><ul><li>verbe régulier</li><br><li>des chaussures (신발)</li><li>des chaussures habillées (구두)</li><li>des talons hauts (하이힐)</li><li>des chaussures de sport (운동화)</li><li>des bottes (장화 / 부츠)</li><li>des sandales (샌들)</li><li>des chaussons (슬리퍼)</li><li>des chaussettes (양말)</li></ul>
[sound:신습니다.mp3]	신습니다 <span class="발음">[신<span style="font-weight: bold">슴</span>니다]</span><hr/>신으십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">신다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">신으십니다</div>신습니다</div><div class="해요체"><div class="높임">신으세요</div>신어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">신으셨습니다</div>신었습니다</div><div class="해요체"><div class="높임">신으셨어요</div>신었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">신으실 겁니다</div>신을 겁니다</div><div class="해요체"><div class="높임">신으실 거예요</div>신을 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">신으시고</div>신고</div><div class="지만"><div class="높임">신으시지만</div>신지만</div><div class="는데"><div class="높임">신으시는데</div>신는데</div><div class="면"><div class="높임">신으시면</div>신으면</div><div class="서"><div class="높임">신으셔서</div>신어서</div></div></div>	il porte <span class="small">(aux pieds)</span>, il chausse<p class="small">(하십시오체, registre formel poli)</p>
[sound:신어요.mp3]	신어요 <span class="발음">[시너요]</span><hr/>신으세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">신다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">신으십니다</div>신습니다</div><div class="해요체"><div class="높임">신으세요</div>신어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">신으셨습니다</div>신었습니다</div><div class="해요체"><div class="높임">신으셨어요</div>신었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">신으실 겁니다</div>신을 겁니다</div><div class="해요체"><div class="높임">신으실 거예요</div>신을 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">신으시고</div>신고</div><div class="지만"><div class="높임">신으시지만</div>신지만</div><div class="는데"><div class="높임">신으시는데</div>신는데</div><div class="면"><div class="높임">신으시면</div>신으면</div><div class="서"><div class="높임">신으셔서</div>신어서</div></div></div>	il porte <span class="small">(aux pieds)</span>, il chausse<p class="small">(해요체, registre informel poli)</p>
[sound:신었어요.mp3]	신었어요 <span class="발음">[시너써요]</span><hr/>신으셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">신다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">신으십니다</div>신습니다</div><div class="해요체"><div class="높임">신으세요</div>신어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">신으셨습니다</div>신었습니다</div><div class="해요체"><div class="높임">신으셨어요</div>신었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">신으실 겁니다</div>신을 겁니다</div><div class="해요체"><div class="높임">신으실 거예요</div>신을 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">신으시고</div>신고</div><div class="지만"><div class="높임">신으시지만</div>신지만</div><div class="는데"><div class="높임">신으시는데</div>신는데</div><div class="면"><div class="높임">신으시면</div>신으면</div><div class="서"><div class="높임">신으셔서</div>신어서</div></div></div>	il portait <span class="small">(aux pieds)</span>, il chaussait<p class="small">(해요체, registre informel poli)</p>
[sound:신을_거예요.mp3]	신을 거예요 <span class="발음">[시늘]</span><hr/>신으실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">신다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">신으십니다</div>신습니다</div><div class="해요체"><div class="높임">신으세요</div>신어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">신으셨습니다</div>신었습니다</div><div class="해요체"><div class="높임">신으셨어요</div>신었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">신으실 겁니다</div>신을 겁니다</div><div class="해요체"><div class="높임">신으실 거예요</div>신을 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">신으시고</div>신고</div><div class="지만"><div class="높임">신으시지만</div>신지만</div><div class="는데"><div class="높임">신으시는데</div>신는데</div><div class="면"><div class="높임">신으시면</div>신으면</div><div class="서"><div class="높임">신으셔서</div>신어서</div></div></div>	il portera <span class="small">(aux pieds)</span>, il chaussera<p class="small">(해요체, registre informel poli)</p>

[sound:신발.mp3]	신발<span class="small light">을 신다</span>	chaussures <span class="small light">/ porter</span><p class="small">(발: pied ; 옷: vêtement)</p><ul><li>신발 한 <span class="em">켤레</span> (1 paire de chaussures)</li></ul>
[sound:구두.mp3]	구두<span class="small light">를 신다</span>	chaussures (habillées) <span class="small light">/ porter</span><p class="small">(옷: vêtement)</p>
[sound:하이힐.mp3]	하이힐<span class="small light">을 신다</span>	talons hauts <span class="small light">/ porter</span><p class="small">(angl. “high heels” ; 옷: vêtement)</p>
[sound:운동화.mp3]	운동화<span class="small light">를 신다</span>	chaussures de sport <span class="small light">/ porter</span><p class="small">(운동: sport ; 옷: vêtement)</p><ul><li>운동화 두 <span class="em">켤레</span> (2 paires de baskets)</li></ul>
[sound:장화_부츠.mp3]	장화<span class="small light">를 신다</span><hr/>부츠	bottes <span class="small light">/ porter</span><p class="small">(angl. “boots”)</p><ul><li>부츠 한 <span class="em">켤레</span> (1 paire de bottes)</li></ul>
[sound:샌들.mp3]	샌들<span class="small light">을 신다</span>	sandales <span class="small light">/ porter</span><p class="small">(angl. “sandals”)</p>
[sound:슬리퍼.mp3]	슬리퍼<span class="small light">를 신다</span>	chaussons <span class="small light">/ porter</span><p class="small">(angl. “slippers”)</p>
[sound:양말.mp3]	양말<span class="small light">을 신다</span>	chaussettes <span class="small light">/ porter</span><p class="small">(옷: vêtement)</p><ul><li>양말 네 <span class="em">켤레</span> (4 paires de chaussettes)</li></ul>


[sound:끼다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">끼다</div><div class="불규칙">(동사)</div></div></div><ul><li>장갑을 끼다</li><li>반지를 끼다</li><li>안경을 끼다</li></ul>	porter, mettre<p class="small">(aux mains - 손)</p><ul><li>verbe régulier</li><br><li>des gants (장갑)</li><li>une bague (반지)</li><br>Mais aussi&nbsp;:<li>des lunettes (안경)</li><li>des lentilles de contact (콘택트 렌즈, 렌즈)</li><li>des boucles d'oreille (귀걸이)</li></ul>
[sound:낍니다.mp3]	낍니다 <span class="발음">[<span style="font-weight: bold">낌</span>니다]</span><hr/>끼십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">끼다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">끼십니다</div>낍니다</div><div class="해요체"><div class="높임">끼세요</div>껴요</div></div><div class="과거"><div class="하십시오체"><div class="높임">끼셨습니다</div>꼈습니다</div><div class="해요체"><div class="높임">끼셨어요</div>꼈어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">끼실 겁니다</div>낄 겁니다</div><div class="해요체"><div class="높임">끼실 거예요</div>낄 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">끼시고</div>끼고</div><div class="지만"><div class="높임">끼시지만</div>끼지만</div><div class="는데"><div class="높임">끼시는데</div>끼는데</div><div class="면"><div class="높임">끼시면</div>끼면</div><div class="서"><div class="높임">끼셔서</div>껴서</div></div></div>	il porte <span class="small">(aux mains)</span><p class="small">(하십시오체, registre formel poli)</p>
[sound:껴요.mp3]	<span class="불규칙">껴</span>요<p class="small">(*<span class="불규칙">끼어</span>요)</p><hr/>끼세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">끼다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">끼십니다</div>낍니다</div><div class="해요체"><div class="높임">끼세요</div>껴요</div></div><div class="과거"><div class="하십시오체"><div class="높임">끼셨습니다</div>꼈습니다</div><div class="해요체"><div class="높임">끼셨어요</div>꼈어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">끼실 겁니다</div>낄 겁니다</div><div class="해요체"><div class="높임">끼실 거예요</div>낄 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">끼시고</div>끼고</div><div class="지만"><div class="높임">끼시지만</div>끼지만</div><div class="는데"><div class="높임">끼시는데</div>끼는데</div><div class="면"><div class="높임">끼시면</div>끼면</div><div class="서"><div class="높임">끼셔서</div>껴서</div></div></div>	il porte <span class="small">(aux mains)</span><p class="small">(해요체, registre informel poli)</p>
[sound:꼈어요.mp3]	<span class="불규칙">꼈</span>어요 <span class="발음">[껴써요]</span><p class="small">(*<span class="불규칙">끼었</span>어요)</p><hr/>끼셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">끼다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">끼십니다</div>낍니다</div><div class="해요체"><div class="높임">끼세요</div>껴요</div></div><div class="과거"><div class="하십시오체"><div class="높임">끼셨습니다</div>꼈습니다</div><div class="해요체"><div class="높임">끼셨어요</div>꼈어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">끼실 겁니다</div>낄 겁니다</div><div class="해요체"><div class="높임">끼실 거예요</div>낄 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">끼시고</div>끼고</div><div class="지만"><div class="높임">끼시지만</div>끼지만</div><div class="는데"><div class="높임">끼시는데</div>끼는데</div><div class="면"><div class="높임">끼시면</div>끼면</div><div class="서"><div class="높임">끼셔서</div>껴서</div></div></div>	il portait <span class="small">(aux mains)</span><p class="small">(해요체, registre informel poli)</p>
[sound:낄_거예요.mp3]	낄 거예요<hr/>끼실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">끼다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">끼십니다</div>낍니다</div><div class="해요체"><div class="높임">끼세요</div>껴요</div></div><div class="과거"><div class="하십시오체"><div class="높임">끼셨습니다</div>꼈습니다</div><div class="해요체"><div class="높임">끼셨어요</div>꼈어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">끼실 겁니다</div>낄 겁니다</div><div class="해요체"><div class="높임">끼실 거예요</div>낄 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">끼시고</div>끼고</div><div class="지만"><div class="높임">끼시지만</div>끼지만</div><div class="는데"><div class="높임">끼시는데</div>끼는데</div><div class="면"><div class="높임">끼시면</div>끼면</div><div class="서"><div class="높임">끼셔서</div>껴서</div></div></div>	il portera <span class="small">(aux mains)</span><p class="small">(해요체, registre informel poli)</p>

