tags: darakwon 9-과

[sound:공.mp3]	공 <span class="small">(0)</span><p class="small light"><span style="font-weight: bold">공</span> &lt; 일 &lt; 이 &lt; 삼 &lt; 사 &lt; 오 &lt; 육 &lt; 칠 &lt; 팔 &lt; 구 &lt; 십</p>	zéro<hr/>balle, ballon
[sound:커피_한_잔_주세요.mp3]	<ul><li>뭐 드릴까요?</li><li>커피 한 잔 주세요.</li></ul>	<ul><li>Que désirez-vous&nbsp;?</li><li>Je voudrais une tasse de café svp.</li></ul>
[sound:친구_집에_개_한_마리가_있어요.mp3]	<ul>친구 집에 개 한 <span style="font-weight: bold">마리가</span> 있어요.<hr/>친구 집에 <span style="font-weight: bold">개가</span> 한 마리 있어요.</ul>	<ul>Il y a un chien chez mon ami.</ul>
[sound:사미라는_청바지_한_벌을_사요.mp3]	<ul>사미라는 청바지 한 <span style="font-weight: bold">벌을</span> 사요.<hr/>사미라는 <span style="font-weight: bold">청바지를</span> 한 벌 사요.</ul>	<ul>Samira achète un jean.</ul>
[sound:텔레비전_한_대가_육백_유로예요.mp3]	<ul>텔레비전 한 <span style="font-weight: bold">대가</span> 육백 유로예요.<hr/><span style="font-weight: bold">텔레비전이</span> 한 대 육백 유로예요.</ul>	<ul>Une télévision coûte 600 euros.</ul>
[sound:와인이_두_병에_사_유로예요.mp3]	<ul>와인이 두 병에 사 유로예요.</ul>	<ul>Le lot de deux bouteilles de vin coûte 4 euros.</ul>

[sound:사과가_몇_개_있어요.mp3]	<ul><li>사과가 몇 개 있어요?</li><li>열 개 있어요.</li></ul>	<ul><li>Combien y a-t-il de pommes&nbsp;?</li><li>Il y en a dix.</li></ul>
[sound:사전이_몇_권_있어요.mp3]	<ul><li>사전이 몇 권 있어요?</li><li>세 권 있어요.</li></ul>	<ul><li>Combien de dictionnaires as-tu&nbsp;?</li><li>J'en ai trois.</li></ul>
[sound:교실에_학생이_몇_명_있어요.mp3]	<ul><li>교실에 학생이 몇 명 있어요?</li><li>다섯 명 있어요.</li></ul>	<ul><li>Combien y a-t-il d'élèves dans la classe&nbsp;?</li><li>Il y en a cinq.</li></ul>
[sound:몇_살이에요.mp3]	<ul><li>몇 살이에요?</li><li>스물한 살이에요.</li></ul>	<ul><li>Quel âge as-tu&nbsp;?</li><li>J'ai vingt-et-un ans.</li></ul>


# 대화 1

[sound:모르간이_상준에게_전화해요.mp3]	<ul>모르간이 상준에게 전화해요.</ul>	<ul>Morgane téléphone à Sang-joon.</ul>

[sound:따르릉_여보세요.mp3]	<ul><span class="light">따르릉&hellip;</span><li>여보세요?</li><li>여보세요? 거기 상준 씨 댁이에요?</li><li>네, 맞아요.</li><li>안녕하세요? 저는 상준 씨 친구 모르간이에요. 상준 씨 좀 바꿔 주세요.</li><li>잠깐만 기다리세요.</li></ul>	<ul><span class="light">dring&hellip;</span><li>Allo&nbsp;?</li><li>Allo&nbsp;? Je suis bien chez Sang-joon&nbsp;?</li><li>Oui, tout à fait.</li><li>Bonjour, je suis Morgane, une amie de Sang-joon. Pourriez-vous me le passer, s'il vous plaît&nbsp;?</li><li>Un instant je vous prie.</li></ul>

[sound:여보세요_모르간_씨_안녕하세요.mp3]	<ul><li>여보세요? 모르간 씨, 안녕하세요?</li><li>안녕하세요? 상준 씨, 요즘 어떻게 지내요?</li></ul>	<ul><li>Allo&nbsp;? Bonjour Morgane.</li><li>Bonjour Sang-joon. Comment vas-tu ces jours-ci&nbsp;?</li></ul>


# 대화 2

[sound:오늘은_토요일이에요.mp3]	<ul>오늘은 토요일이에요.</ul>	<ul>Aujourd'hui c'est samedi.</ul>

[sound:모르간의_휴대전화에_레오의_전화번호가_나타나요.mp3]	<ul>레오와 모르간은 휴대전화가 있어요. 레오가 모르간에게 전화해요. 모르간의 휴대전화에 레오의 전화번호가 나타나요.</ul>	<ul>Léo et Morgane ont des téléphones portables. Léo appelle Morgane. Le numéro de téléphone de Léo apparaît sur le téléphone portable de Morgane.</ul>

[sound:노트북_컴퓨터가_아주_싸요.mp3]	<ul><li>네, 레오 씨. 안녕하세요?</li><li>안녕하세요? 모르간 씨, 오늘 서울백화점에서 세일해요.</li><li>어머, 그래요?</li><li>네. 노트북 컴퓨터가 아주 싸요.</li></ul>	<ul><li>Oui, salut Léo.</li><li>Salut Morgane. Aujourd'hui il y a des soldes au grand magasin de Séoul.</li><li>Oh, vraiment&nbsp;?</li><li>Oui. Les ordinateurs portables sont très bon marché.</li></ul>

[sound:한_대에_오십만_원이에요.mp3]	<ul><li>노트북이 얼마예요?</li><li>한 대에 오십만 원이에요.</li></ul>	<ul><li>Combien coûte un ordinateur portable&nbsp;?</li><li>C'est 500,000 wons <span class="light">(l'unité)</span>.</li></ul>

[sound:볼펜이_다섯_개에_천_원이에요.mp3]	<ul><li>학용품도 세일해요?</li><li>네, 볼펜이 다섯 개에 천 원이에요. 그리고 공책은 한 권에 팔백 원이에요.</li></ul>	<ul><li>Les fournitures scolaires sont-elles aussi soldées&nbsp;?</li><li>Oui, le lot de cinq stylos <span class="light">(à bille)</span> coûte 1,000 wons. Et le cahier à l'unité est à 800 wons.</li></ul>

[sound:이따가_같이_백화점에서_쇼핑해요.mp3]	<ul><li>레오 씨, 그럼 이따가 같이 백화점에서 쇼핑해요.</li><li>좋아요.</li></ul>	<ul><li>Léo, alors allons plus tard faire du shopping ensemble au grand magasin.</li><li>Parfait.</li></ul>

[sound:사미라_씨_휴대전화_번호_알아요.mp3]	<ul><li>그런데 사미라 씨 휴대전화 번호 알아요?</li><li>네, 알아요.</li><li>사미라 씨 전화번호가 몇 번이에요?</li><li>010-1234-5678이에요.</li></ul>	<ul><li>Au fait, connais-tu le numéro de portable de Samira&nbsp;?</li><li>Oui je le connais.</li><li>Quel est le numéro de téléphone de Samira&nbsp;?</li><li>C'est le 010-1234-5678.</li></ul>


# 읽기

[sound:레오랑_모르간이랑_사미라는_서울백화점에_함께_가요.mp3]	<ul>레오랑 모르간이랑 사미라는 서울백화점에 함께 가요. 지금 서울백화점에서 세일해요.</ul>	<ul>Léo, Morgane et Samira se rendent ensemble au grand magasin de Séoul. Actuellement il y a des soldes au grand magasin de Séoul.</ul>

[sound:4층에서_학용품을_세일해요.mp3]	<ul>4층에서 학용품을 세일해요. 학용품이 아주 싸요. 연필은 열 개에 1,500 원이에요.</ul>	<ul>Les fournitures scolaires sont soldées au troisième étage. Les fournitures scolaires sont très bon marché. Le lot de dix crayons coûte 1,500 wons.</ul>

[sound:노트북_컴퓨터도_안_비싸요.mp3]	<ul>노트북 컴퓨터도 안 비싸요. 좋은 노트북이 한 대에 500,000 원이에요.</ul>	<ul>Les ordinateurs portables ne sont pas chers non plus. Un bon ordinateur portable coûte 500,000 wons.</ul>

[sound:백화점_2층에서_옷도_세일해요.mp3]	<ul>백화점 2층에서 옷도 세일해요. 청바지 한 벌에 12,000 원이에요.</ul>	<ul>Les vêtements sont également en solde au premier étage du grand magasin. La paire de jeans est à 12,000 wons.</ul>

[sound:레오는_볼펜하고_공책을_사요.mp3]	<ul>레오는 볼펜하고 공책을 사요. 모르간은 연필을 열 개 사요. 사미라는 청바지를 한 벌 사요.</ul>	<ul>Léo achète un stylo à bille et un cahier. Morgane achète dix crayons. Samira achète un jeans.</ul>


# 듣기와 말하기

[sound:열일곱_17.mp3]	열일곱	17<p class="small">(수사: numéral <span class="em">coréen</span>)</p>
[sound:여든아홉_89.mp3]	여든아홉	89<p class="small">(수사: numéral <span class="em">coréen</span>)</p>
[sound:스물둘_22.mp3]	스물둘	22<p class="small">(수사: numéral <span class="em">coréen</span>)</p>
[sound:마흔여섯_46.mp3]	마흔여섯	46<p class="small">(수사: numéral <span class="em">coréen</span>)</p>
[sound:칠십구_79.mp3]	칠십구	79<p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>
[sound:오십육_56.mp3]	오십육	56<p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>
[sound:삼천구백팔십팔_3,988.mp3]	삼천구백팔십팔	3,988
[sound:천백팔십_1,180.mp3]	천백팔십	1,180
[sound:삼막사천칠백_34,700.mp3]	삼막사천칠백	34,700 <span class="small light">(3_4700)</span>
[sound:오막오천육백_55,600.mp3]	오막오천육백	55,600 <span class="small light">(5_5600)</span>
[sound:십이막_120,000.mp3]	십이막	120,000 <span class="small light">(12_0000)</span>
[sound:사십오막_450,000.mp3]	사십오막	450,000 <span class="small light">(45_0000)</span>
[sound:백오십칠막_1,570,000.mp3]	백오십칠막	1,570,000 <span class="small light">(157_0000)</span>

[sound:표.mp3]	표	billet, ticket<hr/>table, tableau<p class="small">(grille de lignes et de colonnes)</p>
[sound:표를_완성하세요.mp3]	<ul>표를 완성하세요.</ul>	<ul>Finissez le tableau.</ul>

[sound:식당이_몇_층에_있어요.mp3]	<ul><li>식당이 몇 층에 있어요?</li><li>2층에 있어요.</li><li>식당에서 비빔밥이 얼마예요?</li><li>4,000 원이에요.</li></ul>	<ul><li>À quel étage se trouve le restaurant&nbsp;?</li><li>Il est au premier étage.</li><li>Combien coûte le bibimbap dans ce restaurant&nbsp;?</li><li>Il coûte 4,000 wons.</li></ul>

[sound:카페도_2층에_있어요.mp3]	<ul><li>카페도 2층에 있어요?</li><li>아니요, 카페는 3층에 있어요. 카페에서 커피가 3,000 원이에요.</li></ul>	<ul><li>Le café est-il aussi au premier étage&nbsp;?</li><li>Non, le café est au deuxième étage. Au café, le café coûte 3,000 wons.</li></ul>

[sound:편의점은_몇_층에_있어요.mp3]	<ul><li>편의점은 몇 층에 있어요?</li><li>1층에 있어요.</li><li>편의점에서 볼펜이 얼마예요?</li><li>한 개에 500 원이에요.</li></ul>	<ul><li>À quel étage se trouve la supérette&nbsp;?</li><li>Elle est rez-de-chaussée.</li><li>Combien coûte un stylo à la supérette&nbsp;?</li><li>C'est 500 wons l'unité.</li></ul>


# 문화와 사회

[sound:시장.mp3]	시장	marché
[sound:시청.mp3]	시청	hôtel de ville
[sound:광장.mp3]	광장	square, place
[sound:역.mp3]	<span class="small light">(철도 / 지하철)</span> 역	gare de chemin de fer<hr>station de métro

[sound:동대문_시장.mp3]	동대문 시장	marché de Dongdaemun<ul><li>Dongdaemun (litt. “grande porte de l'est”) est l'une des huit portes (문) de la muraille de Séoul (서울성곽). Édifiée en 1396 par le roi Taejo (<span class="em">태조</span>), fondateur et premier roi de la dynastie Joseon (<span class="em">조선</span>, 1392 &ndash; 1910), la porte est située dans l'arrondissement de Jongno (<span class="em">종로구</span>).</li><li>Cet immense marché est constitué d'innombrables boutiques vendant des produits à prix réduit, notamment des tissus, vêtements, chaussures et articles de sport mais aussi de la plomberie, de l'électronique, des fournitures de bureau et des jouets. On y trouve également de nombreuses animaleries ainsi que des étals de street food coréenne réputés pour leur boudin (<span class="em">순대</span>) et leurs raviolis (<span class="em">만두</span>).</li></ul><hr/><img src="종로구.svg">

[sound:남대문_시장.mp3]	남대문 시장	marché de Namdaemun<ul><li>Namdaemun (litt. “grande porte du sud”) est l'une des huit portes (문) de la muraille de Séoul (서울성곽). Édifiée en 1398 par le roi Taejo (<span class="em">태조</span>), fondateur et premier roi de la dynastie Joseon (<span class="em">조선</span>, 1392 &ndash; 1910), la porte est située dans l'arrondissement du centre (<span class="em">중구</span>), entre la gare de Séoul (<span class="em">서울역</span>) et la place de Séoul (<span class="em">서울광장</span>) située en face de l'hôtel de ville (<span class="em">서울시청</span>).</li><li>Cet immense marché traditionnel est le plus vieux et le plus grand marché de Corée.</li></ul><hr/><img src="중구.svg">

[sound:중구.mp3]	중구<hr/><img src="중구.svg">	litt. “arrondissement du centre”<ul class="small"><li>le plus petit et le moins peuplé des 25 arrondissements (구) de Séoul (서울) situé au nord du fleuve Han (<span class="em">한강</span>)</li><br><li>même si le cœur historique de la ville se situe juste au nord à 종로구, 중구 héberge également des lieux de pouvoir comme le palais Deoksu (<span class="em">덕수궁</span>) ou l'hôtel de ville de Séoul (<span class="em">서울시청</span>)</li><br><li>centre historique des affaires, il héberge le siège de nombreuses grandes sociétés, banques et compagnies d'assurance, ainsi que des zones commerçantes majeures telles que Myeongdong (<span class="em">명동</span>) et le marché de Namdaemun (<span class="em">남대문시장</span>)</li><br><li>attractions touristiques&nbsp;:<ul style="font-size: 100%; list-style-type: circle"><li>Cheonggyecheon (<span class="em">청계천</span>), cours d'eau aménagé en une promenade (autrefois recouvert par une voie express surélevée)</li><li>Tour de Séoul (<span class="em">서울타워</span>), monument emblématique de la capitale, située en haut du mont Namsan (<span class="em">남산</span>, litt. “montagne du sud”) à partir duquel elle offre un panorama sur toute la ville</li></ul></li></ul>
