tags: darakwon 8-과

[sound:언제.mp3]	언제	quand&nbsp;?
[sound:감사해요.mp3]	감사해요<div class="활용"><div class="bloc"><div class="부정사">감사하다</div><div class="불규칙">(동사 / 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">감사합니다</div><div class="해요체">감사해요</div></div></div></div>	il remercie, merci<p class="small">(해요체, registre informel poli)</p><ul><li><span style="font-weight: bold">sino-coréen</span>&nbsp;; la forme coréenne native 고마워요 est moins formelle</li></ul>

[sound:끝.mp3]	끝<p class="small">(&ne;&nbsp;시작)</p>	fin, bout, extrémité<p class="small">(&ne;&nbsp;début)</p>
[sound:끝나다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">끝나다 <span class="발음">[<span style="font-weight: bold">끈</span>나다]</span></div><div class="불규칙">(동사)</div></div></div><p class="small">(&ne;&nbsp;시작하다)</p>	se finir, se terminer<p class="small">(&ne;&nbsp;commencer)</p><ul><li>verbe régulier <span class="em">intransitif</span> (il n'admet pas de complément d'objet)&nbsp;: (S) se termine</li></ul>
[sound:끝나요.mp3]	끝<span class="불규칙">나</span>요 <span class="발음">[<span style="font-weight: bold">끈</span>나요]</span><p class="small">(*끝<span class="불규칙">나아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">끝나다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">끝나요</div></div></div>	il se finit, il se termine<p class="small">(해요체, registre informel poli)</p>

[sound:도착.mp3]	도착<p class="small">(&ne;&nbsp;출발)</p>	arrivée<p class="small">(&ne;&nbsp;départ)</p>
[sound:도착하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">도착하다 <span class="발음">[도차<span style="font-weight: bold">카</span>다]</span></div><div class="불규칙">(동사)</div></div></div><p class="small">(&ne;&nbsp;출발하다)</p>	arriver<p class="small">(&ne;&nbsp;partir)</p><ul><li>verbe régulier</li></ul>
[sound:도착해요.mp3]	도착해요 <span class="발음">[도차<span style="font-weight: bold">캐</span>요]</span><div class="활용"><div class="bloc"><div class="부정사">도착하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">도착해요</div></div></div>	il arrive<p class="small">(해요체, registre informel poli)</p>

[sound:쉬다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">쉬다</div><div class="불규칙">(동사)</div></div></div>	se reposer<ul><li>verbe régulier</li></ul>
[sound:쉬어요.mp3]	쉬어요<div class="활용"><div class="bloc"><div class="부정사">쉬다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">쉬어요</div></div></div>	il se repose<p class="small">(해요체, registre informel poli)</p><ul><li>Attention à ne pas confondre [쉬어] avec [쉬워]&nbsp;: 쉬워요 (il est facile)</li></ul>

[sound:시작.mp3]	시작<p class="small">(&ne;&nbsp;끝)</p>	début, commencement<p class="small">(&ne;&nbsp;fin)</p>
[sound:시작하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">시작하다 <span class="발음">[시자<span style="font-weight: bold">카</span>다]</span></div><div class="불규칙">(동사)</div></div></div><p class="small">(&ne;&nbsp;끝나다)</p>	commencer<p class="small">(&ne;&nbsp;se finir, se terminer)</p><ul><li>verbe régulier</li></ul>
[sound:시작해요.mp3]	시작해요 <span class="발음">[시자<span style="font-weight: bold">캐</span>요]</span><div class="활용"><div class="bloc"><div class="부정사">시작하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">시작해요</div></div></div>	il commence<p class="small">(해요체, registre informel poli)</p>

[sound:씻다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">씻다 <span class="발음">[씯<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(규칙 동사)</div></div></div>	se laver<ul><li>verbe régulier</li></ul>
[sound:씻어요.mp3]	씻어요 <span class="발음">[씨서요]</span><div class="활용"><div class="bloc"><div class="부정사">씻다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">씻어요</div></div></div>	il se lave<p class="small">(해요체, registre informel poli)</p>

[sound:운동.mp3]	운동	sport, exercice (physique), entraînement
[sound:운동하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">운동(을 )하다</div><div class="불규칙">(동사)</div></div></div>	faire du sport, des exercices (physiques), s'entraîner<ul><li>verbe régulier</li></ul>
[sound:운동해요.mp3]	운동해요<div class="활용"><div class="bloc"><div class="부정사">운동하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">운동해요</div></div></div>	il fait du sport, il s'entraîne<p class="small">(해요체, registre informel poli)</p>

[sound:일어나다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">일어나다</div><div class="불규칙">(동사)</div></div></div>	se réveiller<hr/>se lever<ul><li>verbe régulier</li></ul>
[sound:일어나요.mp3]	일어<span class="불규칙">나</span>요<p class="small">(*일어<span class="불규칙">나아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">일어나다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">일어나요</div></div></div>	il se réveille<hr/>il se lève<p class="small">(해요체, registre informel poli)</p>

[sound:일하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">일(을 )하다</div><div class="불규칙">(동사)</div></div></div>	travailler<ul><li>verbe régulier</li></ul>
[sound:일해요.mp3]	일해요<div class="활용"><div class="bloc"><div class="부정사">일하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">일해요</div></div></div>	il travaille<p class="small">(해요체, registre informel poli)</p>

[sound:축하.mp3]	축하 <span class="발음">[추<span style="font-weight: bold">카</span>]</span>	félicitation
[sound:축하하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">축하하다 <span class="발음">[추<span style="font-weight: bold">카</span>하다]</span></div><div class="불규칙">(동사)</div></div></div>	féliciter, congratuler<hr>fêter, célébrer<ul><li>verbe régulier</li></ul>
[sound:축하해요.mp3]	축하해요 <span class="발음">[추<span style="font-weight: bold">카</span>해요]</span><div class="활용"><div class="bloc"><div class="부정사">축하하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">축하합니다</div><div class="해요체">축하해요</div></div></div></div>	il félicite, il congratule<hr>il fête, il célèbre<p class="small">(해요체, registre informel poli)</p>


# 대화 1

[sound:오늘은_12월_5일_금요일이에요.mp3]	<ul>오늘은 12월 5일 금요일이에요. 줄리엥하고 민정은 학교에서 이야기해요.</ul>	<ul>Aujourd'hui, c'est le vendredi 5 décembre. Julien et Min-jeong discutent à l'école.</ul>

[sound:한국_역사_수업이_언제_시작해요.mp3]	<ul><li>민정 씨, 한국 역사 수업이 언제 시작해요?</li><li>두 시에 시작해요. 그리고 네 시에 끝나요.</li></ul>	<ul><li>Min-jeong, quand commence le cours d'histoire coréenne&nbsp;?</li><li>Il commence à deux heures. Et il se termine à quatre.</li></ul>

[sound:지금_몇_시예요.mp3]	<ul><li>지금 몇 시예요?</li><li>한 시 반이에요.</li></ul>	<ul><li>Quelle heure est-il (maintenant)&nbsp;?</li><li>Il est une heure et demie.</li></ul>

[sound:오늘_모르간_씨_생일이에요.mp3]	<ul><li>그런데 줄리엥 씨, 오늘 모르간 씨 생일이에요. 모르간 씨가 집에서 생일잔치를 해요.</li><li>아, 저도 오늘 모르간 씨 생일잔치에 가요.</li><li>그래요? 그럼 같이 가요.</li><li>네, 좋아요. 그럼 이따가 저녁 여섯 시에 학교에서 만나요.</li></ul>	<ul><li>Au fait, Julien, aujourd'hui c'est l'anniversaire de Morgane. Elle organise une fête d'anniversaire chez elle.</li><li>Ah, j'y vais aussi aujourd'hui.</li><li>Vraiment&nbsp;? Alors allons-y ensemble.</li><li>Oui, d'accord. Alors retrouvons-nous plus tard, à 18h à l'école.</li></ul>


# 대화 2

[sound:오늘은_모르간의_생일이에요.mp3]	<ul>오늘은 모르간의 생일이에요. 줄리엥하고 민정은 모르간 집에 있어요.</ul>	<ul>Aujourd'hui, c'est l'anniversaire de Morgane. Julien et Min-jeong sont chez elle.</ul>

[sound:제_선물이에요.mp3]	<ul><li>모르간 씨, 생일 축하해요! 제 선물이에요.</li><li>고마워요, 민정 씨.</li></ul>	<ul><li>Morgane, joyeux anniversaire&nbsp;! C'est mon cadeau.</li><li>Merci, Min-jeong.</li></ul>

[sound:민정_씨는_생일이_몇_월_며칠이에요.mp3]	<ul><li>민정 씨는 생일이 몇 월 <span class="불규칙">며칠</span>이에요?</li><li>제 생일은 6월 12일이에요.</li></ul>	<ul><li>Min-jeong, quel jour est ton anniversaire&nbsp;?</li><li>Mon anniversaire est le 12 juin.</li></ul>

[sound:줄리엥_씨는_생일이_몇_월_며칠이에요.mp3]	<ul><li>줄리엥 씨는 생일이 몇 월 <span class="불규칙">며칠</span>이에요?</li><li>5월 28일이에요.</li></ul>	<ul><li>Julien, quel jour est ton anniversaire&nbsp;?</li><li>C'est le 28 mai.</li></ul>

[sound:한국에서는_친구_생일에_뭐_해요.mp3]	<ul><li>민정 씨, 한국에서는 친구 생일에 뭐 해요?</li><li>글쎄요, 보통 생일 선물을 줘요. 그리고 같이 밥을 먹어요.</li></ul>	<ul><li>Min-jeong, en Corée que fait-on pour l'anniversaire d'un ami&nbsp;?</li><li>Euh &hellip;, en général on offre un cadeau d'anniversaire et on mange ensemble.</li></ul>


# 읽기

[sound:찬호_씨는_월요일부터_금요일까지_일해요.mp3]	<ul>찬호 씨는 월요일부터 금요일까지 일해요.</ul>	<ul>Chan-ho travaille du lundi au vendredi.</ul>
[sound:찬호_씨는_매일_아침_6시_반에_일어나요.mp3]	<ul>찬호 씨는 매일 아침 6시 반에 일어나요. 6시 반부터 7시까지 운동해요.</ul>	<ul>Chan-ho se lève à 6h30 tous les matins. Il fait du sport de 6h30 à 7h00.</ul>
[sound:찬호_씨는_7시_십분에_씻어요.mp3]	<ul>찬호 씨는 7시 10분에 씻어요. 그리고 7시 반에 아침을 먹어요.</ul>	<ul>Chan-ho se lave à 7h10. Et il déjeune à 7h30.</ul>
[sound:찬호_씨는_9시에_회사에_도착해요.mp3]	<ul>찬호 씨는 9시에 회사에 도착해요.</ul>	<ul>Chan-ho arrive à l'entreprise à neuf heures.</ul>
[sound:12시까지_열심히_일해요.mp3]	<ul>12시까지 열심히 일해요. 그리고 12시에 점심을 먹어요.</ul>	<ul>Il travaille dur jusqu'à midi et il déjeune à 12 heures.</ul>
[sound:찬호_씨는_보통_저녁_7시쯤에_집에_와요.mp3]	<ul>찬호 씨는 보통 저녁 7시쯤에 집에 와요. 그리고 저녁을 먹어요.</ul>	<ul>Chan-ho rentre habituellement vers 19 heures et il dîne.</ul>
[sound:8시에_텔레비전을_봐요.mp3]	<ul>8시에 텔레비전을 봐요. 9시에 책을 읽어요. 인터넷도 해요.</ul>	<ul>Il regarde la télévision à huit heures. À neuf heures il lit un livre. Il surfe aussi sur internet.</ul>
[sound:찬호_씨는_밤_11시에_자요.mp3]	<ul>찬호 씨는 밤 11시에 자요.</ul>	<ul>Chan-ho dort à 23 heures.</ul>
[sound:주말에_찬호_씨는_카페에서_친구를_만나요.mp3]	<ul>주말에 찬호 씨는 카페에서 친구를 만나요.</ul>	<ul>Le week-end, Chan-ho rencontre des amis au café.</ul>
[sound:일요일에는_집에서_쉬어요.mp3]	<ul>일요일에는 집에서 쉬어요.</ul>	<ul>Le dimanche, il se repose à la maison.</ul>


# 듣기와 말하기

[sound:줄리엥은_지금_점심을_먹어요.mp3]	<ul>줄리엥은 지금 점심을 먹어요.</ul>	<ul>Julien est en train de déjeuner.</ul>

[sound:편의점에_가요.mp3]	<ul><li>어디에 가요?</li><li>편의점에 가요.</li></ul>	<ul><li>Où vas-tu&nbsp;?</li><li>Je vais à la supérette.</li></ul>

[sound:보통_저녁에_뭐_해요.mp3]	<ul><li>보통 저녁에 뭐 해요?</li><li>텔레비전을 봐요.</li></ul>	<ul><li>Habituellement qu'est-ce que tu fais le soir&nbsp;?</li><li>Je regarde la télévision.</li></ul>

[sound:이따가_3시에_있어요.mp3]	<ul><li>언제 한국어 수업이 있어요?</li><li>이따가 3시에 있어요.</li></ul>	<ul><li>Quand est le cours de coréen&nbsp;?</li><li>Il est plus tard, à 3 heures.</li></ul>

[sound:저는_매일_아침에_운동해요.mp3]	<ul><li>언제 운동해요?</li><li>저는 매일 아침에 운동해요.</li></ul>	<ul><li>Quand fais-tu du sport&nbsp;?</li><li>J'en fais tous les matins.</li></ul>


[sound:일정표.mp3]	일정(표)<p class="small light">/ 예정(표) / 계획(표)</p>	agenda, itinéraire<ul><li>Nuances&nbsp;:<ul style="font-size: 100%; list-style-type: circle"><li><span style="font-weight: bold">일정 - agenda ou itinéraire (avec horaire détaillé), planifié ou déjà passé</span></li><li>예정 - agenda planifié (généralement d'un seul voyage ou activité)</li><li>계획 - plan (souvent juste une intention sans calendrier élaboré)</li></ul></li><br><li>Les trois peuvent avoir le suffixe <span class="em">-표 (tableau, diagramme ou graphique)</span> qui, dans ce cas, signifie un tableau ou un graphique montrant l'agenda (일정표, 예정표) ou le plan (계획표), soit sur une feuille de papier, soit sur un ordinateur ou un autre écran.</li></ul>
[sound:일정표를_완성하세요.mp3]	<ul>일정표를 완성하세요.</ul>	<ul>Complétez l'agenda.</ul>

[sound:서예가_몇_시에_끝나요.mp3]	<ul><li>오늘 서예를 배워요?</li><li>네, 배워요. 수요일에도 배워요.</li><li>서예가 몇 시에 끝나요?</li><li>저녁 일곱 시에 끝나요.</li></ul>	<ul><li>Aujourd'hui tu apprends la calligraphie&nbsp;?</li><li>Oui. Je l'apprends aussi le mercredi.</li><li>À quelle heure se termine la calligraphie&nbsp;?</li><li>Elle se termine à 19h.</li></ul>

[sound:영화가_몇_시에_시작해요.mp3]	<ul><li>언제 영화를 봐요?</li><li>토요일에 봐요.</li><li>영화가 몇 시에 시작해요?</li><li>오후 세 시에 시작해요.</li></ul>	<ul><li>Quand regardes-tu le film&nbsp;?</li><li>Je le regarde samedi.</li><li>À quelle heure commence-t-il&nbsp;?</li><li>Il commence à 15h.</li></ul>

[sound:언제_생일잔치를_해요.mp3]	<ul><li>언제 생일잔치를 해요?</li><li>십삼 일 일요일에 해요. 오후 한 시에 시작해요.</li></ul>	<ul><li>Quand organises-tu ta fête d'anniversaire&nbsp;?</li><li>Je l'organise le dimanche treize. Elle commence à 13h.</li></ul>

[sound:저녁_여덟_시에_만나요.mp3]	<ul><li>십 일에 뭐 해요?</li><li>친구를 만나요.</li><li>몇 시에 만나요?</li><li>저녁 여덟 시에 만나요.</li></ul>	<ul><li>Que fais-tu le 10&nbsp;?</li><li>Je rencontre un ami.</li><li>À quelle heure le retrouves-tu&nbsp;?</li><li>J'ai rendez-vous à 20h.</li></ul>


[sound:마리는_매일_오후에_일해요.mp3]	<ul>마리는 매일 오후에 일해요. 2시부터 6시까지 일해요. 저녁 6시 반에 집에 와요. 그리고 저녁을 먹어요.</ul>	<ul>Marie travaille tous les après-midi. Elle travaille de 14h à 18h. Elle rentre à la maison à 18h30 et elle dîne.</ul>

[sound:마리는_밤_10시쯤에_씻어요.mp3]	<ul>마리는 밤 10시쯤에 씻어요. 그리고 잡지를 읽어요. 마리는 밤 11시에 자요.</ul>	<ul>Marie se lave vers 22h puis elle lit des magazines. Marie se couche à 23h.</ul>


# 문화와 사회

[sound:반찬.mp3]	반찬	plat d'accompagnement

[sound:김치.mp3]	김치	kimchi<ul class="small"><li>Le kimchi est un condiment coréen à base de <span style="font-weight: bold">légumes lacto-fermentés</span>. Il est principalement servi en plat d'accompagnement (<span class="em">반찬</span>) mais il peut être également utilisé comme ingrédient comme dans la soupe de kimchi (<span class="em">김치 찌개</span>) ou le riz frit au kimchi (<span class="em">김치 볶음밥</span>).</li><br><li>Légumes&nbsp;&mdash; Il y a autant de variétés de kimchi que de choix de légume principal entrant dans sa composition. Les 2 légumes les plus couramment utilisés sont&nbsp;:<ul style="font-size: 100%; list-style-type: circle"><li>le choux, notamment le chou chinois (<span class="em">배추</span>)</li><li>le radis, notamment le radis coréen (<span class="em">조선무</span>), litt. “radis (무) de Joseon (조선)”</li></ul></li><br><li>Assaisonnements&nbsp;&mdash; Les assaisonnements couramment utilisés comprennent&nbsp;:<ul style="font-size: 100%; list-style-type: circle"><li>la poudre de piment rouge (<span class="em">고춧가루</span>), litt. “piment (고추) en poudre (가루)”</li><li>la ciboule ou cive (<span class="em">파</span>), l'ail (<span class="em">마늘</span>) et le gingembre</li><li>les fruits de mer fermentés dans du sel (<span class="em">젓갈</span>)</li></ul></li><br><li>Stockage&nbsp;&mdash; Traditionnellement, le kimchi était stocké dans de grandes jarres de fermentation en terre cuite (<span class="em">옹기</span> / <span class="em">장독</span>) enterrées pour le garder à l'abri du gel pendant les mois d'hiver et suffisamment frais pour ralentir le processus de fermentation pendant les mois d'été. Les jarres pouvaient être également conservées à l'extérieur sur des terrasses spéciales (<span class="em">장독대</span>). De nos jours, on utilise des réfrigérateurs à kimchi (<span class="em">김치냉장고</span>).</li></ul>
