tags: darakwon 17-과

[sound:면접.mp3]	면접(시험)<p class="small light">/ 면접관 / 면접장</p>	entretien (d'embauche)<p class="small light">/ recruteur / salle d'entretien</p><ul><li>표현 (expression)<br><br>&mdash;&nbsp;면접(시험)을 보다<br>&mdash;&nbsp;<span style="font-style: italic">passer un entretien d'embauche</span></li></ul>
[sound:전공합니다.mp3]	전공합니다<p class="발음">[전공<span style="font-weight: bold">함</span>니다]</p><hr/>전공하십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">전공하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">전공하십니다</div>전공합니다</div><div class="해요체"><div class="높임">전공하세요</div>전공해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">전공하셨습니다</div>전공했습니다</div><div class="해요체"><div class="높임">전공하셨어요</div>전공했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">전공하실 겁니다</div>전공할 겁니다</div><div class="해요체"><div class="높임">전공하실 거예요</div>전공할 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">전공하시고</div>전공하고</div><div class="지만"><div class="높임">전공하시지만</div>전공하지만</div><div class="는데"><div class="높임">전공하시는데</div>전공하는데</div><div class="면"><div class="높임">전공하시면</div>전공하면</div><div class="서"><div class="높임">전공하셔서</div>전공해서</div></div></div>	il se spécialise<p class="small">(하십시오체, registre formel poli)</p>
[sound:전공해요.mp3]	전공해요<hr/>전공하세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">전공하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">전공하십니다</div>전공합니다</div><div class="해요체"><div class="높임">전공하세요</div>전공해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">전공하셨습니다</div>전공했습니다</div><div class="해요체"><div class="높임">전공하셨어요</div>전공했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">전공하실 겁니다</div>전공할 겁니다</div><div class="해요체"><div class="높임">전공하실 거예요</div>전공할 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">전공하시고</div>전공하고</div><div class="지만"><div class="높임">전공하시지만</div>전공하지만</div><div class="는데"><div class="높임">전공하시는데</div>전공하는데</div><div class="면"><div class="높임">전공하시면</div>전공하면</div><div class="서"><div class="높임">전공하셔서</div>전공해서</div></div></div>	il se spécialise<p class="small">(해요체, registre informel poli)</p>
[sound:전공했어요.mp3]	전공했어요<p class="발음">[전공해써요]</p><hr/>전공하셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">전공하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">전공하십니다</div>전공합니다</div><div class="해요체"><div class="높임">전공하세요</div>전공해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">전공하셨습니다</div>전공했습니다</div><div class="해요체"><div class="높임">전공하셨어요</div>전공했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">전공하실 겁니다</div>전공할 겁니다</div><div class="해요체"><div class="높임">전공하실 거예요</div>전공할 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">전공하시고</div>전공하고</div><div class="지만"><div class="높임">전공하시지만</div>전공하지만</div><div class="는데"><div class="높임">전공하시는데</div>전공하는데</div><div class="면"><div class="높임">전공하시면</div>전공하면</div><div class="서"><div class="높임">전공하셔서</div>전공해서</div></div></div>	il se spécialisait<p class="small">(해요체, registre informel poli)</p>
[sound:전공할_거예요.mp3]	전공할 거예요<hr/>전공하실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">전공하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">전공하십니다</div>전공합니다</div><div class="해요체"><div class="높임">전공하세요</div>전공해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">전공하셨습니다</div>전공했습니다</div><div class="해요체"><div class="높임">전공하셨어요</div>전공했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">전공하실 겁니다</div>전공할 겁니다</div><div class="해요체"><div class="높임">전공하실 거예요</div>전공할 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">전공하시고</div>전공하고</div><div class="지만"><div class="높임">전공하시지만</div>전공하지만</div><div class="는데"><div class="높임">전공하시는데</div>전공하는데</div><div class="면"><div class="높임">전공하시면</div>전공하면</div><div class="서"><div class="높임">전공하셔서</div>전공해서</div></div></div>	il se spécialisera<p class="small">(해요체, registre informel poli)</p>

[sound:빠르다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">빠르다</div><div class="불규칙">(“르” 불규칙 형용사)</div></div></div><p class="small">(&ne;&nbsp;느리다)</p>	être rapide<p class="small">(&ne;&nbsp;être lent)</p><ul><li>adjectif irrégulier en “르”&nbsp;: ㅡ devient ㄹ devant voyelle</li></ul>
[sound:빠릅니다.mp3]	빠릅니다 <span class="발음">[빠<span style="font-weight: bold">름</span>니다]</span><hr/>빠르십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">빠르다</div><div class="불규칙">(“르” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">빠르십니다</div>빠릅니다</div><div class="해요체"><div class="높임">빠르세요</div>빨라요</div></div><div class="과거"><div class="하십시오체"><div class="높임">빠르셨습니다</div>빨랐습니다</div><div class="해요체"><div class="높임">빠르셨어요</div>빨랐어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">빠르실 겁니다</div>빠를 겁니다</div><div class="해요체"><div class="높임">빠르실 거예요</div>빠를 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">빠르시고</div>빠르고</div><div class="지만"><div class="높임">빠르시지만</div>빠르지만</div><div class="는데"><div class="높임">빠르신데</div>빠른데</div><div class="면"><div class="높임">빠르시면</div>빠르면</div><div class="서"><div class="높임">빠르셔서</div>빨라서</div></div></div>	il est rapide<p class="small">(하십시오체, registre formel poli)</p>
[sound:빨라요.mp3]	<span class="불규칙">빨라</span>요<p class="small">(*<span class="불규칙">빠ㄹ/ㄹ아</span>요)</p><hr/>빠르세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">빠르다</div><div class="불규칙">(“르” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">빠르십니다</div>빠릅니다</div><div class="해요체"><div class="높임">빠르세요</div>빨라요</div></div><div class="과거"><div class="하십시오체"><div class="높임">빠르셨습니다</div>빨랐습니다</div><div class="해요체"><div class="높임">빠르셨어요</div>빨랐어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">빠르실 겁니다</div>빠를 겁니다</div><div class="해요체"><div class="높임">빠르실 거예요</div>빠를 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">빠르시고</div>빠르고</div><div class="지만"><div class="높임">빠르시지만</div>빠르지만</div><div class="는데"><div class="높임">빠르신데</div>빠른데</div><div class="면"><div class="높임">빠르시면</div>빠르면</div><div class="서"><div class="높임">빠르셔서</div>빨라서</div></div></div>	il est rapide<p class="small">(해요체, registre informel poli)</p>
[sound:빨랐어요.mp3]	<span class="불규칙">빨랐</span>어요<p class="small">(*<span class="불규칙">빠ㄹ/ㄹ았</span>어요)</p><hr/>빠르셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">빠르다</div><div class="불규칙">(“르” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">빠르십니다</div>빠릅니다</div><div class="해요체"><div class="높임">빠르세요</div>빨라요</div></div><div class="과거"><div class="하십시오체"><div class="높임">빠르셨습니다</div>빨랐습니다</div><div class="해요체"><div class="높임">빠르셨어요</div>빨랐어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">빠르실 겁니다</div>빠를 겁니다</div><div class="해요체"><div class="높임">빠르실 거예요</div>빠를 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">빠르시고</div>빠르고</div><div class="지만"><div class="높임">빠르시지만</div>빠르지만</div><div class="는데"><div class="높임">빠르신데</div>빠른데</div><div class="면"><div class="높임">빠르시면</div>빠르면</div><div class="서"><div class="높임">빠르셔서</div>빨라서</div></div></div>	il était rapide<p class="small">(해요체, registre informel poli)</p>
[sound:빠를_거예요.mp3]	빠를 거예요<hr/>빠르실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">빠르다</div><div class="불규칙">(“르” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">빠르십니다</div>빠릅니다</div><div class="해요체"><div class="높임">빠르세요</div>빨라요</div></div><div class="과거"><div class="하십시오체"><div class="높임">빠르셨습니다</div>빨랐습니다</div><div class="해요체"><div class="높임">빠르셨어요</div>빨랐어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">빠르실 겁니다</div>빠를 겁니다</div><div class="해요체"><div class="높임">빠르실 거예요</div>빠를 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">빠르시고</div>빠르고</div><div class="지만"><div class="높임">빠르시지만</div>빠르지만</div><div class="는데"><div class="높임">빠르신데</div>빠른데</div><div class="면"><div class="높임">빠르시면</div>빠르면</div><div class="서"><div class="높임">빠르셔서</div>빨라서</div></div></div>	il sera rapide<p class="small">(해요체, registre informel poli)</p>

[sound:출발.mp3]	출발<p class="small">(&ne;&nbsp;도착)</p>	départ<p class="small">(&ne;&nbsp;arrivée)</p>
[sound:출발하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">출발하다</div><div class="불규칙">(동사)</div></div></div><p class="small">(&ne;&nbsp;도착하다)</p>	partir<p class="small">(&ne;&nbsp;arriver)</p><ul><li>verbe régulier</li></ul>
[sound:출발합니다.mp3]	출발합니다<hr/>출발하십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">출발하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">출발하십니다</div>출발합니다</div><div class="해요체"><div class="높임">출발하세요</div>출발해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">출발하셨습니다</div>출발했습니다</div><div class="해요체"><div class="높임">출발하셨어요</div>출발했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">출발하실 겁니다</div>출발할 겁니다</div><div class="해요체"><div class="높임">출발하실 거예요</div>출발할 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">출발하시고</div>출발하고</div><div class="지만"><div class="높임">출발하시지만</div>출발하지만</div><div class="는데"><div class="높임">출발하시는데</div>출발하는데</div><div class="면"><div class="높임">출발하시면</div>출발하면</div><div class="서"><div class="높임">출발하셔서</div>출발해서</div></div></div>	il part<p class="small">(하십시오체, registre formel poli)</p>
[sound:출발해요.mp3]	출발해요<hr/>출발하세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">출발하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">출발하십니다</div>출발합니다</div><div class="해요체"><div class="높임">출발하세요</div>출발해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">출발하셨습니다</div>출발했습니다</div><div class="해요체"><div class="높임">출발하셨어요</div>출발했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">출발하실 겁니다</div>출발할 겁니다</div><div class="해요체"><div class="높임">출발하실 거예요</div>출발할 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">출발하시고</div>출발하고</div><div class="지만"><div class="높임">출발하시지만</div>출발하지만</div><div class="는데"><div class="높임">출발하시는데</div>출발하는데</div><div class="면"><div class="높임">출발하시면</div>출발하면</div><div class="서"><div class="높임">출발하셔서</div>출발해서</div></div></div>	il part<p class="small">(해요체, registre informel poli)</p>
[sound:출발했어요.mp3]	출발했어요<hr/>출발하셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">출발하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">출발하십니다</div>출발합니다</div><div class="해요체"><div class="높임">출발하세요</div>출발해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">출발하셨습니다</div>출발했습니다</div><div class="해요체"><div class="높임">출발하셨어요</div>출발했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">출발하실 겁니다</div>출발할 겁니다</div><div class="해요체"><div class="높임">출발하실 거예요</div>출발할 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">출발하시고</div>출발하고</div><div class="지만"><div class="높임">출발하시지만</div>출발하지만</div><div class="는데"><div class="높임">출발하시는데</div>출발하는데</div><div class="면"><div class="높임">출발하시면</div>출발하면</div><div class="서"><div class="높임">출발하셔서</div>출발해서</div></div></div>	il partait<p class="small">(해요체, registre informel poli)</p>
[sound:출발할_거예요.mp3]	출발할 거예요<hr/>출발하실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">출발하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">출발하십니다</div>출발합니다</div><div class="해요체"><div class="높임">출발하세요</div>출발해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">출발하셨습니다</div>출발했습니다</div><div class="해요체"><div class="높임">출발하셨어요</div>출발했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">출발하실 겁니다</div>출발할 겁니다</div><div class="해요체"><div class="높임">출발하실 거예요</div>출발할 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">출발하시고</div>출발하고</div><div class="지만"><div class="높임">출발하시지만</div>출발하지만</div><div class="는데"><div class="높임">출발하시는데</div>출발하는데</div><div class="면"><div class="높임">출발하시면</div>출발하면</div><div class="서"><div class="높임">출발하셔서</div>출발해서</div></div></div>	il partira<p class="small">(해요체, registre informel poli)</p>

[sound:출장.mp3]	출장 <span class="발음">[출짱]</span>	voyage d'affaires<ul><li>표현 (expression)<br><br>&mdash;&nbsp;출장가다<br>&mdash;&nbsp;<span style="font-style: italic">aller en voyage d'affaires</span></li></ul>
[sound:출장가다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">출장가다</div><div class="불규칙">(동사)</div></div></div>	aller en voyage d'affaires<ul><li>verbe régulier</li></ul>

[sound:노래.mp3]	노래 <span class="small light">/ 노래방</span>	chanson <span class="small light">/ karaoké</span>
[sound:노래하다_노래부르다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">노래하다</div><div class="불규칙">(동사)</div></div></div><hr/><div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">노래(를) 부르다</div><div class="불규칙">(“르” 불규칙 동사)</div></div></div>	chanter<ul><li>verbe irrégulier en “르”&nbsp;: ㅡ devient ㄹ devant voyelle</li></ul>
[sound:부르다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">부르다</div><div class="불규칙">(“르” 불규칙 동사)</div></div></div>	chanter<hr/>appeler<ul><li>verbe irrégulier en “르”&nbsp;: ㅡ devient ㄹ devant voyelle</li></ul>
[sound:부릅니다.mp3]	부릅니다 <span class="발음">[부<span style="font-weight: bold">름</span>니다]</span><hr/>부르십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">부르다</div><div class="불규칙">(“르” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">부르십니다</div>부릅니다</div><div class="해요체"><div class="높임">부르세요</div>불러요</div></div><div class="과거"><div class="하십시오체"><div class="높임">부르셨습니다</div>불렀습니다</div><div class="해요체"><div class="높임">부르셨어요</div>불렀어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">부르실 겁니다</div>부를 겁니다</div><div class="해요체"><div class="높임">부르실 거예요</div>부를 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">부르시고</div>부르고</div><div class="지만"><div class="높임">부르시지만</div>부르지만</div><div class="는데"><div class="높임">부르시는데</div>부르는데</div><div class="면"><div class="높임">부르시면</div>부르면</div><div class="서"><div class="높임">부르셔서</div>불러서</div></div></div>	il chante<hr/>il appelle<p class="small">(하십시오체, registre formel poli)</p>
[sound:불러요.mp3]	<span class="불규칙">불러</span>요<p class="small">(*<span class="불규칙">부ㄹ/ㄹ어</span>요)</p><hr/>부르세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">부르다</div><div class="불규칙">(“르” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">부르십니다</div>부릅니다</div><div class="해요체"><div class="높임">부르세요</div>불러요</div></div><div class="과거"><div class="하십시오체"><div class="높임">부르셨습니다</div>불렀습니다</div><div class="해요체"><div class="높임">부르셨어요</div>불렀어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">부르실 겁니다</div>부를 겁니다</div><div class="해요체"><div class="높임">부르실 거예요</div>부를 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">부르시고</div>부르고</div><div class="지만"><div class="높임">부르시지만</div>부르지만</div><div class="는데"><div class="높임">부르시는데</div>부르는데</div><div class="면"><div class="높임">부르시면</div>부르면</div><div class="서"><div class="높임">부르셔서</div>불러서</div></div></div>	il chante<hr/>il appelle<p class="small">(해요체, registre informel poli)</p>
[sound:불렀어요.mp3]	<span class="불규칙">불렀</span>어요<p class="small">(*<span class="불규칙">부ㄹ/ㄹ었</span>어요)</p><hr/>부르셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">부르다</div><div class="불규칙">(“르” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">부르십니다</div>부릅니다</div><div class="해요체"><div class="높임">부르세요</div>불러요</div></div><div class="과거"><div class="하십시오체"><div class="높임">부르셨습니다</div>불렀습니다</div><div class="해요체"><div class="높임">부르셨어요</div>불렀어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">부르실 겁니다</div>부를 겁니다</div><div class="해요체"><div class="높임">부르실 거예요</div>부를 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">부르시고</div>부르고</div><div class="지만"><div class="높임">부르시지만</div>부르지만</div><div class="는데"><div class="높임">부르시는데</div>부르는데</div><div class="면"><div class="높임">부르시면</div>부르면</div><div class="서"><div class="높임">부르셔서</div>불러서</div></div></div>	il chantait<hr/>il appelait<p class="small">(해요체, registre informel poli)</p>
[sound:부를_거예요.mp3]	부를 거예요<hr/>부르실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">부르다</div><div class="불규칙">(“르” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">부르십니다</div>부릅니다</div><div class="해요체"><div class="높임">부르세요</div>불러요</div></div><div class="과거"><div class="하십시오체"><div class="높임">부르셨습니다</div>불렀습니다</div><div class="해요체"><div class="높임">부르셨어요</div>불렀어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">부르실 겁니다</div>부를 겁니다</div><div class="해요체"><div class="높임">부르실 거예요</div>부를 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">부르시고</div>부르고</div><div class="지만"><div class="높임">부르시지만</div>부르지만</div><div class="는데"><div class="높임">부르시는데</div>부르는데</div><div class="면"><div class="높임">부르시면</div>부르면</div><div class="서"><div class="높임">부르셔서</div>불러서</div></div></div>	il chantera<hr/>il appellera<p class="small">(해요체, registre informel poli)</p>



# 대화 1

[sound:레오는_오늘_무역회사_면접시험이_있습니다.mp3]	<ul>레오는 오늘 무역회사 면접시험이 있습니다. 레오는 회사의 위치를 몰라서 택시를 탑니다.</ul>	<ul>Aujourd'hui Léo a un entretien d'embauche pour une entreprise d'import-export. Comme Léo ne sait pas où se trouve l'entreprise, il prend un taxi.</ul><p class="small">(하십시오체, registre formel poli)</p>

[sound:손님_어디까지_가세요.mp3]	<ul><li><span class="light">(기사)</span> 손님, 어디까지 가세요?</li><li>삼성동요. 삼성동까지 얼마나 걸려요?</li><li>글쎄요. 지금 길이 막혀서 30분쯤 걸릴 거예요.</li><li>그래요? 저는 삼성동에 4시까지 가야 돼요. 면접시험을 보러 가요.</li><li>알겠습니다.</li></ul>	<ul><li><span class="light">(chauffeur)</span> Client, où allez-vous&nbsp;?</li><li>Au quartier de Samseong. Combien de temps faut-il pour s'y rendre&nbsp;?</li><li>Je ne sais pas trop. Cela prendra environ 30 minutes car la route est bouchée maintenant.</li><li>Vraiment&nbsp;? Je dois aller à Samseong-dong avant 16 heures. Je m'y rends pour passer un entretien d'embauche.</li><li>D'accord.</li></ul>

[sound:택시는_20분_후에_삼성동에_도착했습니다.mp3]	<ul>택시는 20분 후에 삼성동에 도착했습니다. 레오는 회사에 일찍 왔습니다.<li><span class="light">(기사)</span> 삼성동에 도착했습니다.</li><li>벌써요? 20분밖에 안 걸렸어요.</li><li>다행히 길이 많이 안 막혔어요.</li><li>감사합니다. 요금이 얼마예요?</li><li>12,000원입니다.</li></ul>	<ul>Le taxi est arrivé à Samseong-dong 20 minutes plus tard. Léo est venu tôt à l'entreprise.<li><span class="light">(chauffeur)</span> Nous sommes arrivés à Samseong-dong.</li><li>Déjà&nbsp;? Cela n'a pris que 20 minutes.</li><li>Heureusement, la route n'était pas très embouteillée.</li><li>Merci. Combien vous dois-je&nbsp;?</li><li>12 000 wons.</li></ul><p class="small">(하십시오체, registre formel poli)</p>



# 대화 2

[sound:왜_여기에서_일하고_싶어요.mp3]	<ul>지금 레오는 면접시험을 보고 있습니다.<li><span class="light">(면접관)</span> 레오 씨는 왜 여기에서 일하고 싶어요?</li><li>저는 무역에 관심이 많습니다. 그래서 대학교에서 무역과 한국어를 전공했습니다.</li></ul>	<ul>Léo est en train de passer maintenant un entretien d'embauche.<li><span class="light">(recruteur)</span> Léo, pourquoi voulez-vous travailler ici&nbsp;?</li><li>Je m'intéresse beaucoup au commerce. C'est pourquoi, à l'université, je me suis spécialisé dans le commerce et le coréen.</li></ul><p class="small">(하십시오체, registre formel poli)</p>

[sound:어떤_외국어를_말할_줄_알아요.mp3]	<ul><li>어떤 외국어를 말할 줄 알아요?</li><li>프랑스대학교에서 한국어를 배웠습니다. 그리고 중학교와 고등학교를 영국에서 다녀서 영어를 잘하고 어머니께서 스페인 분이셔서 스페인어도 할 줄 압니다.</li></ul>	<ul><li>Quelles langues étrangères parlez-vous&nbsp;?</li><li>J'ai étudié le coréen dans une université française. Et comme je suis allé au collège et au lycée en Angleterre je parle bien anglais&nbsp;; de plus, ma mère étant espagnole je sais parler espagnol.</li></ul><p class="small">(하십시오체, registre formel poli)</p>

[sound:지금_한국에서는_뭐_하세요.mp3]	<ul><li>지금 한국에서는 뭐 하세요?</li><li>잠실대학교 대학원에 다니고 있습니다. 그리고 한국어도 배우고 있습니다.</li></ul>	<ul><li>Que faites-vous en Corée actuellement&nbsp;?</li><li>Je fréquente une école supérieure à l'Université Jamsil. Et je suis aussi en train d'apprendre le coréen.</li></ul><p class="small">(하십시오체, registre formel poli)</p>

[sound:여기서_일하면_유럽에_출장을_많이_가야_돼요.mp3]	<ul><li>여기서 일하면 유럽에 출장을 많이 가야 돼요. 그리고 바쁜 일도 많고, 어려운 일도 많아요.</li><li>제가 영국하고 프랑스에서 공부해서 유럽은 잘 압니다. 그리고 바쁘고 어려운 일도 열심히 할 겁니다.</li><li>알겠어요.</li></ul>	<ul><li>Travailler ici impose de nombreux voyages d'affaires en Europe. De plus, le travail est intense et <span class="light">(aussi)</span> difficile.</li><li>Je connais bien l'Europe car j'ai étudié en Angleterre et en France. Et je travaillerai dur sur un travail chargé et difficile.</li><li>D'accord.</li></ul><p class="small">(하십시오체, registre formel poli)</p>

[sound:면접이_다_끝나고_회사에서_레오_씨께_연락할_겁니다.mp3]	<ul><li>면접이 다 끝나고 회사에서 레오 씨께 연락할 겁니다.</li><li>네, 잘 알겠습니다.</li></ul>	<ul><li>L'entretien est <span class="light">(complètement)</span> terminé, l'entreprise vous contactera.</li><li>Oui, j'ai bien compris.</li></ul><p class="small">(하십시오체, registre formel poli)</p>


# 읽기

[sound:레오는_오늘_삼성동에_있는_회사에_면접시험을_보러_갔습니다.mp3]	<ul>레오는 오늘 삼성동에 있는 회사에 면접시험을 보러 갔습니다. 레오는 회사의 위치를 몰라서 택시를 탔습니다. 보통 서울에서는 길이 자주 막혀서 지하철이 가장 빠릅니다. 그런데 오늘은 길이 막히지 않아서 레오는 늦지 않았습니다.</ul>	<ul>Léo s'est rendu aujourd'hui dans une entreprise de Samseong-dong pour passer un entretien. Léo ne savait pas où se trouvait l'entreprise, alors il a pris un taxi. Habituellement à Séoul, il y a souvent des embouteillages, donc le métro est le plus rapide. Toutefois, aujourd'hui, Léo n'était pas en retard car il n'y avait pas d'embouteillages.</ul><p class="small">(하십시오체, registre formel poli)</p>

[sound:레오가_면접시험을_보러_간_회사는_외국어를_할_수_있는_직원을_찾고_있습니다.mp3]	<ul>레오가 면접시험을 보러 간 회사는 외국어를 잘 하고 유럽에 자주 출장갈 수 있는 직원을 찾고 있습니다. 레오는 프랑스어, 한국어, 영어, 스페인어를 말할 줄 압니다. 그리고 대학교에서 무역을 전공했습니다.</ul>	<ul>L'entreprise dans laquelle Léo est allé passer un entretien recherche un employé qui maîtrise les langues étrangères et puisse voyager fréquemment en Europe. Léo sait parler français, coréen, anglais et espagnol. De plus, à l'université, il s'est spécialisé en commerce.</ul><p class="small">(하십시오체, registre formel poli)</p>

[sound:이_회사는_작지만_레오가_좋아하는_일들이_많았습니다.mp3]	<ul>이 회사는 작지만 레오가 좋아하는 일들이 많았습니다. 레오는 유럽, 아프리카, 아시아, 미주, 남미에 출장가서 세계를 구경하고 싶습니다. 그리고 삼성동은 레오가 사는 집에서 가까워서 아침에 조금 늦게 일어날 수 있습니다. 레오는 이 회사에서 일하고 싶습니다. 면접이 다 끝난 후에 회사에서 레오에게 연락할 겁니다.</ul>	<ul>Cette entreprise est petite mais elle a beaucoup de choses que Léo aime faire. Léo veut partir en voyage d'affaires en Europe, en Afrique, en Asie, aux Amériques et en Amérique du Sud pour voir le monde. Et comme Samseong-dong est proche de là où habite Léo, il peut se réveiller un peu plus tard le matin. Léo aimerait travailler pour cette entreprise. Une fois l'entretien terminé, l'entreprise contactera Léo.</ul><p class="small">(하십시오체, registre formel poli)</p>



# 듣기와 말하기

[sound:줄리엥은_노래를_잘_불러요.mp3]	<ul>줄리엥은 노래를 잘 불러요.</ul>	<ul>Julien chante bien.</ul>
[sound:떼제베가_아주_빨라요.mp3]	<ul>떼제베가 아주 빨라요.</ul>	<ul>Le TGV est très rapide.</ul>
[sound:경제학_수업은_일주일_후에_시작할_겁니다.mp3]	<ul>경제학 수업은 일주일 후에 시작할 겁니다.</ul>	<ul>Le cours d'économie commencera dans une semaine.</ul><p class="small">(하십시오체, registre formel poli)</p>
[sound:모르간은_서예에_관심이_많습니다.mp3]	<ul>모르간은 서예에 관심이 많습니다.</ul>	<ul>Morgane s'intéresse beaucoup à la calligraphie.</ul><p class="small">(하십시오체, registre formel poli)</p>
[sound:어느_회사에_다녀요.mp3]	<ul>어느 회사에 다녀요?</ul>	<ul>Pour quelle entreprise travaillez-vous&nbsp;?</ul>
[sound:손님이_한_명밖에_없습니다.mp3]	<ul>손님이 한 명밖에 없습니다.</ul>	<ul>Il n'y a qu'un seul invité.</ul><p class="small">(하십시오체, registre formel poli)</p>
[sound:제레미_남동생은_초등학생이에요.mp3]	<ul>제레미 남동생은 초등학생이에요.</ul>	<ul>Le frère cadet de Jérémy est à l'école primaire.</ul>
