tags: darakwon 10-과

[sound:경제학.mp3]	경제학	sciences économiques, économie
[sound:넓어요.mp3]	넓어요 <span class="발음">[널버요]</span><div class="활용"><div class="bloc"><div class="부정사">넓다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">넓어요</div><div class="과거">넓었어요</div></div></div>	il est large (grand, spacieux)<p class="small">(해요체, registre informel poli)</p>
[sound:넓었어요.mp3]	넓었어요 <span class="발음">[널버써요]</span><div class="활용"><div class="bloc"><div class="부정사">넓다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">넓어요</div><div class="과거">넓었어요</div></div></div>	il était large (grand, spacieux)<p class="small">(해요체, registre informel poli)</p>

[sound:닫다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">닫다 <span class="발음">[닫<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(규칙동사)</div></div></div><p class="small">(&ne;&nbsp;열다)</p>	fermer<p class="small">(&ne;&nbsp;ouvrir)</p><ul><li>verbe régulier</li></ul>
[sound:닫아요.mp3]	닫아요 <span class="발음">[다<span style="font-weight: bold">다</span>요]</span><div class="활용"><div class="bloc"><div class="부정사">닫다</div><div class="불규칙">(규칙동사)</div></div><div class="bloc"><div class="현재">닫아요</div><div class="과거">닫았어요</div><div class="명령법">닫으세요</div></div></div>	il ferme<p class="small">(해요체, registre informel poli)</p>
[sound:닫았어요.mp3]	닫았어요 <span class="발음">[다<span style="font-weight: bold">다</span>써요]</span><div class="활용"><div class="bloc"><div class="부정사">닫다</div><div class="불규칙">(규칙동사)</div></div><div class="bloc"><div class="현재">닫아요</div><div class="과거">닫았어요</div><div class="명령법">닫으세요</div></div></div>	il fermait<p class="small">(해요체, registre informel poli)</p>

[sound:답해요.mp3]	답해요 <span class="발음">[다<span style="font-weight: bold">패</span>요]</span><div class="활용"><div class="bloc"><div class="부정사">답하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">답해요</div><div class="과거">답했어요</div><div class="명령법">답하세요</div></div></div>	il répond<p class="small">(해요체, registre informel poli)</p>
[sound:답했어요.mp3]	답했어요 <span class="발음">[다<span style="font-weight: bold">패</span>써요]</span><div class="활용"><div class="bloc"><div class="부정사">답하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">답해요</div><div class="과거">답했어요</div><div class="명령법">답하세요</div></div></div>	il répondait<p class="small">(해요체, registre informel poli)</p>

[sound:도착해요.mp3]	도착해요<p class="발음">[도차<span style="font-weight: bold">캐</span>요]</p><div class="활용"><div class="bloc"><div class="부정사">도착하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">도착해요</div><div class="과거">도착했어요</div></div></div>	il arrive<p class="small">(해요체, registre informel poli)</p>
[sound:도착했어요.mp3]	도착했어요<p class="발음">[도차<span style="font-weight: bold">캐</span>써요]</p><div class="활용"><div class="bloc"><div class="부정사">도착하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">도착해요</div><div class="과거">도착했어요</div></div></div>	il arrivait<p class="small">(해요체, registre informel poli)</p>

[sound:도와요.mp3]	도<span class="불규칙">와</span>요<p class="small">(*도<span class="불규칙">오아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">돕다</div><div class="불규칙">(“ㅂ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">도와요</div><div class="과거">도왔어요</div><div class="명령법">도우세요</div></div></div>	il aide<p class="small">(해요체, registre informel poli)</p>
[sound:도왔어요.mp3]	도<span class="불규칙">왔</span>어요<p class="small">(*도<span class="불규칙">우았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">돕다</div><div class="불규칙">(“ㅂ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">도와요</div><div class="과거">도왔어요</div><div class="명령법">도우세요</div></div></div>	il aidait<p class="small">(해요체, registre informel poli)</p>

[sound:들어요.mp3]	<span class="불규칙">들</span>어요 <span class="발음">[드러요]</span><div class="활용"><div class="bloc"><div class="부정사">듣다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">들어요</div><div class="과거">들었어요</div><div class="명령법">들으세요</div></div></div>	il entend, il écoute<p class="small">(해요체, registre informel poli)</p>
[sound:들었어요.mp3]	<span class="불규칙">들</span>었어요 <span class="발음">[드러써요]</span><div class="활용"><div class="bloc"><div class="부정사">듣다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">들어요</div><div class="과거">들었어요</div><div class="명령법">들으세요</div></div></div>	il entendait, il écoutait<p class="small">(해요체, registre informel poli)</p>

[sound:마셔요.mp3]	마<span class="불규칙">셔</span>요<p class="small">(*마<span class="불규칙">시어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">마시다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">마셔요</div><div class="과거">마셨어요</div><div class="명령법">마시세요</div></div></div>	il boit<p class="small">(해요체, registre informel poli)</p>
[sound:마셨어요.mp3]	마<span class="불규칙">셨</span>어요<p class="small">(*마<span class="불규칙">시었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">마시다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">마셔요</div><div class="과거">마셨어요</div><div class="명령법">마시세요</div></div></div>	il buvait<p class="small">(해요체, registre informel poli)</p>

[sound:막히다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">막히다 <span class="발음">[마<span style="font-weight: bold">키</span>다]</span></div><div class="불규칙">(동사)</div></div></div>	se bloquer, s'obstruer, se boucher<ul><li>verbe régulier</li></ul>
[sound:길이_막히다.mp3]	길이 막히다<p class="발음">[기리 마<span style="font-weight: bold">키</span>다]</p><div class="활용"><div class="bloc"><div class="부정사">막히다</div></div><div class="bloc"><div class="현재">막혀요</div><div class="과거">막혔어요</div></div></div>	y avoir un embouteillage<p class="small">(litt. “la route se bouche”)</p>
[sound:막혀요.mp3]	막<span class="불규칙">혀</span>요 <span class="발음">[마<span style="font-weight: bold">켜</span>요]</span><p class="small">(*막<span class="불규칙">히어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">막히다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">막혀요</div><div class="과거">막혔어요</div></div></div>	il se bloque, s'obstrue, se bouche<p class="small">(해요체, registre informel poli)</p>
[sound:막혔어요.mp3]	막<span class="불규칙">혔</span>어요 <span class="발음">[마<span style="font-weight: bold">켜</span>써요]</span><p class="small">(*막<span class="불규칙">히었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">막히다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">막혀요</div><div class="과거">막혔어요</div></div></div>	il se bloquait, s'obstruait, se bouchait<p class="small">(해요체, registre informel poli)</p>

[sound:만나요.mp3]	만<span class="불규칙">나</span>요<p class="small">(*만<span class="불규칙">나아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사"><div class="높임">&#x21a1; 뵙다</div>만나다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">만나요</div><div class="과거">만났어요</div></div></div>	il rencontre<p class="small">(해요체, registre informel poli)</p>
[sound:만났어요.mp3]	만<span class="불규칙">났</span>어요<p class="small">(*만<span class="불규칙">나았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사"><div class="높임">&#x21a1; 뵙다</div>만나다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">만나요</div><div class="과거">만났어요</div></div></div>	il rencontrait<p class="small">(해요체, registre informel poli)</p>

[sound:만들어요.mp3]	만들어요 <span class="발음">[만드러요]</span><div class="활용"><div class="bloc"><div class="부정사">만들다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">만들어요</div><div class="과거">만들었어요</div><div class="명령법">만드세요</div></div></div>	il fait, il construit<p class="small">(해요체, registre informel poli)</p>
[sound:만들었어요.mp3]	만들었어요<p class="발음">[만드러써요]</p><div class="활용"><div class="bloc"><div class="부정사">만들다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">만들어요</div><div class="과거">만들었어요</div><div class="명령법">만드세요</div></div></div>	il faisait, il construisait<p class="small">(해요체, registre informel poli)</p>

[sound:많아요.mp3]	많아요 <span class="발음">[마나요]</span><div class="활용"><div class="bloc"><div class="부정사">많다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">많아요</div><div class="과거">많았어요</div></div></div>	ils sont nombreux<p class="small">(해요체, registre informel poli)</p>
[sound:많았어요.mp3]	많았어요 <span class="발음">[마나써요]</span><div class="활용"><div class="bloc"><div class="부정사">많다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">많아요</div><div class="과거">많았어요</div></div></div>	ils étaient nombreux<p class="small">(해요체, registre informel poli)</p>

[sound:말해요.mp3]	말해요<div class="활용"><div class="bloc"><div class="부정사">말하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">말해요</div><div class="과거">말했어요</div><div class="명령법">말하세요</div></div></div>	il parle, il dit<p class="small">(해요체, registre informel poli)</p>
[sound:말했어요.mp3]	말했어요<div class="활용"><div class="bloc"><div class="부정사">말하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">말해요</div><div class="과거">말했어요</div><div class="명령법">말하세요</div></div></div>	il parlait, il disait<p class="small">(해요체, registre informel poli)</p>

[sound:맛없어요.mp3]	맛없어요 <span class="발음">[마<span style="font-weight: bold">덥</span>써요]</span><div class="활용"><div class="bloc"><div class="부정사">맛없다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">맛없어요</div><div class="과거">맛없었어요</div></div></div>	il est fade, mauvais <span class="small">(au goût)</span><p class="small">(해요체, registre informel poli)</p>
[sound:맛없었어요.mp3]	맛없었어요<p class="발음">[마<span style="font-weight: bold">덥</span>써써요]</p><div class="활용"><div class="bloc"><div class="부정사">맛없다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">맛없어요</div><div class="과거">맛없었어요</div></div></div>	il était fade, mauvais <span class="small">(au goût)</span><p class="small">(해요체, registre informel poli)</p>

[sound:맛있어요.mp3]	맛있어요 <span class="발음">[마시써요]</span><div class="활용"><div class="bloc"><div class="부정사">맛있다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">맛있어요</div><div class="과거">맛있었어요</div></div></div>	il est délicieux, bon <span class="small">(au goût)</span><p class="small">(해요체, registre informel poli)</p>
[sound:맛있었어요.mp3]	맛있었어요<p class="발음">[마시써써요]</p><div class="활용"><div class="bloc"><div class="부정사">맛있다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">맛있어요</div><div class="과거">맛있었어요</div></div></div>	il était délicieux, bon <span class="small">(au goût)</span><p class="small">(해요체, registre informel poli)</p>

[sound:맞아요.mp3]	맞아요 <span class="발음">[마자요]</span><div class="활용"><div class="bloc"><div class="부정사">맞다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">맞아요</div><div class="과거">맞았어요</div></div></div>	c'est ça, c'est correct, c'est juste<hr/>il sied, il va, il convient <span class="small">(à un goût)</span><hr/>il est cohérent, en harmonie <span class="small">(avec)</span><p class="small">(해요체, registre informel poli)</p>
[sound:맞았어요.mp3]	맞았어요 <span class="발음">[마자써요]</span><div class="활용"><div class="bloc"><div class="부정사">맞다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">맞아요</div><div class="과거">맞았어요</div></div></div>	c'était ça, c'était correct, c'était juste<hr/>il seyait, il allait, il convenait <span class="small">(à un goût)</span><hr/>il était cohérent, en harmonie <span class="small">(avec)</span><p class="small">(해요체, registre informel poli)</p>

[sound:매워요.mp3]	매<span class="불규칙">워</span>요<p class="small">(*매<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">맵다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">매워요</div><div class="과거">매웠어요</div></div></div>	il est piquant, épicé<p class="small">(해요체, registre informel poli)</p>
[sound:매웠어요.mp3]	매<span class="불규칙">웠</span>어요<p class="small">(*매<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">맵다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">매워요</div><div class="과거">매웠어요</div></div></div>	il était piquant, épicé<p class="small">(해요체, registre informel poli)</p>

[sound:먹어요.mp3]	먹어요 <span class="발음">[머거요]</span><div class="활용"><div class="bloc"><div class="부정사">먹다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">먹어요</div><div class="과거">먹었어요</div><div class="명령법">먹으세요</div></div></div>	il mange<p class="small">(해요체, registre informel poli)</p>
[sound:먹었어요.mp3]	먹었어요 <span class="발음">[머거써요]</span><div class="활용"><div class="bloc"><div class="부정사">먹다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">먹어요</div><div class="과거">먹었어요</div><div class="명령법">먹으세요</div></div></div>	il mangeait<p class="small">(해요체, registre informel poli)</p>

[sound:묻다_여쭈다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">묻다 <span class="발음">[묻<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div></div><p class="small">(&ne;&nbsp;답하다)</p>	demander, interroger<p class="small">(&ne;&nbsp;répondre)</p><ul><li>verbe irrégulier en “ㄷ”&nbsp;: ㄷ devient ㄹ devant voyelle</li></ul>
[sound:물어요.mp3]	<span class="불규칙">물</span>어요 <span class="발음">[무러요]</span><div class="활용"><div class="bloc"><div class="부정사">묻다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">물어요</div><div class="과거">물었어요</div><div class="명령법">물으세요</div></div></div>	il demande, il interroge<p class="small">(해요체, registre informel poli)</p>
[sound:물었어요.mp3]	<span class="불규칙">물</span>었어요 <span class="발음">[무러써요]</span><div class="활용"><div class="bloc"><div class="부정사">묻다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">물어요</div><div class="과거">물었어요</div><div class="명령법">물으세요</div></div></div>	il demandait, il interrogeait<p class="small">(해요체, registre informel poli)</p>

[sound:미안합니다.mp3]	미안합니다<p class="발음">[미안<span style="font-weight: bold">함</span>니다]</p><div class="활용"><div class="bloc"><div class="부정사">미안하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">미안합니다</div><div class="해요체">미안해요</div></div><div class="과거">미안했어요</div></div></div>	je suis désolé, navré&nbsp;; excusez-moi<p class="small">(하십시오체, registre formel poli)</p><ul><li>moins formel que 죄송합니다</li></ul>
[sound:미안해요.mp3]	미안해요<div class="활용"><div class="bloc"><div class="부정사">미안하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">미안합니다</div><div class="해요체">미안해요</div></div><div class="과거">미안했어요</div></div></div>	je suis désolé, navré&nbsp;; excusez-moi<p class="small">(해요체, registre informel poli)</p><ul><li>moins formel que 죄송해요</li></ul>
[sound:미안했어요.mp3]	미안했어요<div class="활용"><div class="bloc"><div class="부정사">미안하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">미안합니다</div><div class="해요체">미안해요</div></div><div class="과거">미안했어요</div></div></div>	il était désolé, navré&nbsp;; il s'excusait<p class="small">(해요체, registre informel poli)</p><ul><li>moins formel que 죄송했어요</li></ul>

[sound:바꿔요.mp3]	바<span class="불규칙">꿔</span>요<p class="small">(*바<span class="불규칙">꾸어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">바꾸다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">바꿔요</div><div class="과거">바꿨어요</div><div class="명령법">바꾸세요</div></div></div>	il change, il transforme, il modifie<hr/>il échange<p class="small">(해요체, registre informel poli)</p>
[sound:바꿨어요.mp3]	바<span class="불규칙">꿨</span>어요 <span class="발음">[바<span style="font-weight: bold">꿔</span>써요]</span><p class="small">(*바<span class="불규칙">꾸었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">바꾸다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">바꿔요</div><div class="과거">바꿨어요</div><div class="명령법">바꾸세요</div></div></div>	il changeait, il transformait, il modifiait<hr/>il échangeait<p class="small">(해요체, registre informel poli)</p>

[sound:반갑습니다.mp3]	반갑습니다<p class="발음">[반갑<span style="font-weight: bold">씀</span>니다]</p><div class="활용"><div class="bloc"><div class="부정사">반갑다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">반갑습니다</div><div class="해요체">반가워요</div></div><div class="과거">반가웠어요</div></div></div>	il est enchanté, ravi <span class="small">(de rencontrer qq'un)</span><p class="small">(하십시오체, registre formel poli)</p>
[sound:반가워요.mp3]	(만나서) 반가<span class="불규칙">워</span>요<p class="small">(*반가<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">반갑다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">반갑습니다</div><div class="해요체">반가워요</div></div><div class="과거">반가웠어요</div></div></div>	il est enchanté, ravi <span class="small">(de rencontrer qq'un)</span><p class="small">(해요체, registre informel poli)</p>
[sound:반가웠어요.mp3]	반가<span class="불규칙">웠</span>어요<p class="small">(*반가<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">반갑다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">반갑습니다</div><div class="해요체">반가워요</div></div><div class="과거">반가웠어요</div></div></div>	il était enchanté, ravi <span class="small">(de rencontrer qq'un)</span><p class="small">(해요체, registre informel poli)</p>

[sound:받다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">받다 <span class="발음">[받<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(규칙동사)</div></div></div>	recevoir<ul><li>verbe régulier</li></ul>
[sound:받아요.mp3]	받아요 <span class="발음">[바<span style="font-weight: bold">다</span>요]</span><div class="활용"><div class="bloc"><div class="부정사">받다</div><div class="불규칙">(규칙동사)</div></div><div class="bloc"><div class="현재">받아요</div><div class="과거">받았어요</div><div class="명령법">받으세요</div></div></div>	il reçoit<p class="small">(해요체, registre informel poli)</p>
[sound:받았어요.mp3]	받았어요 <span class="발음">[바<span style="font-weight: bold">다</span>써요]</span><div class="활용"><div class="bloc"><div class="부정사">받다</div><div class="불규칙">(규칙동사)</div></div><div class="bloc"><div class="현재">받아요</div><div class="과거">받았어요</div><div class="명령법">받으세요</div></div></div>	il recevait<p class="small">(해요체, registre informel poli)</p>

[sound:배워요.mp3]	배<span class="불규칙">워</span>요<p class="small">(*배<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">배우다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">배워요</div><div class="과거">배웠어요</div><div class="명령법">배우세요</div></div></div>	il apprend<p class="small">(해요체, registre informel poli)</p>
[sound:배웠어요.mp3]	배<span class="불규칙">웠</span>어요<p class="small">(*배<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">배우다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">배워요</div><div class="과거">배웠어요</div><div class="명령법">배우세요</div></div></div>	il apprenait<p class="small">(해요체, registre informel poli)</p>

[sound:봐요.mp3]	<span class="불규칙">봐</span>요<p class="small">(*<span class="불규칙">보아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">보다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">봐요</div><div class="과거">봤어요</div><div class="명령법">보세요</div></div></div>	il voit, il regarde<p class="small">(해요체, registre informel poli)</p>
[sound:봤어요.mp3]	<span class="불규칙">봤</span>어요<p class="small">(*<span class="불규칙">보았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">보다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">봐요</div><div class="과거">봤어요</div><div class="명령법">보세요</div></div></div>	il voyait, il regardait<p class="small">(해요체, registre informel poli)</p>

[sound:빠져요.mp3]	빠<span class="불규칙">져</span>요<p class="small">(*빠<span class="불규칙">지어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">빠지다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">빠져요</div><div class="과거">빠졌어요</div></div></div>	il manque, il est omis<hr/>il perd <span class="small">(du poids, des cheveux)</span><hr/>il saute, rate <span class="small">(un rendez-vous, une réunion)</span><p class="small">(해요체, registre informel poli)</p>
[sound:빠졌어요.mp3]	빠<span class="불규칙">졌</span>어요<p class="small">(*빠<span class="불규칙">지었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">빠지다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">빠져요</div><div class="과거">빠졌어요</div></div></div>	il manquait, il était omis<hr/>il perdait <span class="small">(du poids, des cheveux)</span><hr/>il sautait, ratait <span class="small">(un rendez-vous, une réunion)</span><p class="small">(해요체, registre informel poli)</p>

[sound:시험을_보다.mp3]	시험(을) 보다	passer un examen
[sound:시험을_봐요.mp3]	시험(을) <span class="불규칙">봐</span>요<p class="small">(시험을 *<span class="불규칙">보아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">시험(을) 보다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">시험(을) 봐요</div><div class="과거">시험(을) 봤어요</div></div></div>	il passe un examen<p class="small">(해요체, registre informel poli)</p>

[sound:비싸요.mp3]	비<span class="불규칙">싸</span>요<p class="small">(*비<span class="불규칙">싸아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">비싸다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">비싸요</div><div class="과거">비쌌어요</div></div></div>	il est cher, onéreux<p class="small">(해요체, registre informel poli)</p>
[sound:비쌌어요.mp3]	비<span class="불규칙">쌌</span>어요<p class="small">(*비<span class="불규칙">싸았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">비싸다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">비싸요</div><div class="과거">비쌌어요</div></div></div>	il était cher, onéreux<p class="small">(해요체, registre informel poli)</p>

[sound:사요.mp3]	<span class="불규칙">사</span>요<p class="small">(*<span class="불규칙">사아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">사다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">사요</div><div class="과거">샀어요</div><div class="명령법">사세요</div></div></div>	il achète<p class="small">(해요체, registre informel poli)</p>
[sound:샀어요.mp3]	<span class="불규칙">샀</span>어요 <span class="발음">[사써요]</span><p class="small">(*<span class="불규칙">사았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">사다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">사요</div><div class="과거">샀어요</div><div class="명령법">사세요</div></div></div>	il achetait<p class="small">(해요체, registre informel poli)</p>

[sound:사용해요.mp3]	사용해요<div class="활용"><div class="bloc"><div class="부정사">사용하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">사용해요</div><div class="과거">사용했어요</div><div class="명령법">사용하세요</div></div></div>	il utilise, il se sert de<p class="small">(해요체, registre informel poli)</p>
[sound:사용했어요.mp3]	사용했어요<div class="활용"><div class="bloc"><div class="부정사">사용하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">사용해요</div><div class="과거">사용했어요</div><div class="명령법">사용하세요</div></div></div>	il utilisait, il se servait de<p class="small">(해요체, registre informel poli)</p>

[sound:산책하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">산책하다 <span class="발음">[산채<span style="font-weight: bold">카</span>다]</span></div><div class="불규칙">(동사)</div></div></div>	se promener<ul><li>verbe régulier</li></ul>
[sound:산책해요.mp3]	산책해요 <span class="발음">[산채<span style="font-weight: bold">캐</span>요]</span><div class="활용"><div class="bloc"><div class="부정사">산책하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">산책해요</div><div class="과거">산책했어요</div></div></div>	il se promène<p class="small">(해요체, registre informel poli)</p>
[sound:산책했어요.mp3]	산책했어요<p class="발음">[산채<span style="font-weight: bold">캐</span>써요]</p><div class="활용"><div class="bloc"><div class="부정사">산책하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">산책해요</div><div class="과거">산책했어요</div></div></div>	il se promenait<p class="small">(해요체, registre informel poli)</p>

[sound:살아요.mp3]	살아요 <span class="발음">[사라요]</span><div class="활용"><div class="bloc"><div class="부정사">살다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">살아요</div><div class="과거">살았어요</div></div></div>	il vit, habite, demeure, réside<p class="small">(해요체, registre informel poli)</p>
[sound:살았어요.mp3]	살았어요 <span class="발음">[사라써요]</span><div class="활용"><div class="bloc"><div class="부정사">살다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">살아요</div><div class="과거">살았어요</div></div></div>	il vivait, habitait, demeurait, résidait<p class="small">(해요체, registre informel poli)</p>

[sound:세일해요.mp3]	세일해요<div class="활용"><div class="bloc"><div class="부정사">세일하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">세일해요</div><div class="과거">세일했어요</div></div></div>	il solde, il démarque, il brade<p class="small">(해요체, registre informel poli)</p>
[sound:세일했어요.mp3]	세일했어요<div class="활용"><div class="bloc"><div class="부정사">세일하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">세일해요</div><div class="과거">세일했어요</div></div></div>	il soldait, il démarquait, il bradait<p class="small">(해요체, registre informel poli)</p>

[sound:소개해요.mp3]	소개해요<div class="활용"><div class="bloc"><div class="부정사">소개하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">소개해요</div><div class="과거">소개했어요</div></div></div>	il présente, il introduit (qq'un)<p class="small">(해요체, registre informel poli)</p>
[sound:소개했어요.mp3]	소개했어요<div class="활용"><div class="bloc"><div class="부정사">소개하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">소개해요</div><div class="과거">소개했어요</div></div></div>	il présentait, il introduisait (qq'un)<p class="small">(해요체, registre informel poli)</p>

[sound:쇼핑해요.mp3]	쇼핑해요<div class="활용"><div class="bloc"><div class="부정사">쇼핑하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">쇼핑해요</div><div class="과거">쇼핑했어요</div></div></div>	il fait du shopping<p class="small">(해요체, registre informel poli)</p>
[sound:쇼핑했어요.mp3]	쇼핑했어요<div class="활용"><div class="bloc"><div class="부정사">쇼핑하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">쇼핑해요</div><div class="과거">쇼핑했어요</div></div></div>	il faisait du shopping<p class="small">(해요체, registre informel poli)</p>

[sound:수영해요.mp3]	수영해요<div class="활용"><div class="bloc"><div class="부정사">수영하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">수영해요</div><div class="과거">수영했어요</div></div></div>	il nage<p class="small">(해요체, registre informel poli)</p>
[sound:수영했어요.mp3]	수영했어요<div class="활용"><div class="bloc"><div class="부정사">수영하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">수영해요</div><div class="과거">수영했어요</div></div></div>	il nageait<p class="small">(해요체, registre informel poli)</p>

